group,start,end,n_obs,dof,hac_lags,coefficient,estimate,se_hac,t_hac,ci_low,ci_high
full,2016-07-02,2025-07-02,36,29,3,alpha,0.005960886860065987,0.005140358864698337,1.1596246520846367,-0.004114216514742753,0.016035990234874727
full,2016-07-02,2025-07-02,36,29,3,Mkt-RF,1.046065840314657,0.08530537298427184,12.262602034546232,0.8788673092654842,1.2132643713638298
full,2016-07-02,2025-07-02,36,29,3,SMB,0.06864469455982924,0.1375899270399429,0.4989078491182092,-0.20103156243845888,0.33832095155811737
full,2016-07-02,2025-07-02,36,29,3,HML,0.11799605409809565,0.11393419841811457,1.0356508909210465,-0.1053149748014089,0.3413070829976002
full,2016-07-02,2025-07-02,36,29,3,RMW,0.18033148717064237,0.20393285243985954,0.8842689395707968,-0.2193769036114823,0.580039877952767
full,2016-07-02,2025-07-02,36,29,3,CMA,0.13603195810039073,0.16672471909951886,0.8159075560906631,-0.19074849133466623,0.4628124075354477
full,2016-07-02,2025-07-02,36,29,3,Mom,-0.05331983370431706,0.10638148788622911,-0.5012134607605842,-0.2618275499613261,0.155187882552692
first_half,2016-07-02,2021-01-04,18,11,2,alpha,-0.007360154377582638,0.008860410940125353,-0.8306786702466996,-0.024726559820228332,0.010006251065063055
first_half,2016-07-02,2021-01-04,18,11,2,Mkt-RF,1.2027714996919114,0.18343653905184543,6.55688068423471,0.8432358831502944,1.5623071162335285
first_half,2016-07-02,2021-01-04,18,11,2,SMB,-0.37774365506897084,0.4151061077819501,-0.9099930065769948,-1.191351626321593,0.43586431618365135
first_half,2016-07-02,2021-01-04,18,11,2,HML,-0.032833439122121555,0.18983731258416078,-0.1729556675406763,-0.4049145717870767,0.3392476935428336
first_half,2016-07-02,2021-01-04,18,11,2,RMW,-0.030681614527816474,0.6781206322905518,-0.0452450686011135,-1.3597980538172978,1.298434824761665
first_half,2016-07-02,2021-01-04,18,11,2,CMA,-0.03497498854359796,0.6017469219957553,-0.05812242201023617,-1.2143989556552783,1.1444489785680825
first_half,2016-07-02,2021-01-04,18,11,2,Mom,-0.31044929553793427,0.26132950695455515,-1.1879611267621646,-0.8226551291688624,0.20175653809299382
second_half,2021-01-02,2025-07-02,18,11,2,alpha,0.006568068976462982,0.010295732451563346,0.6379409145840479,-0.013611566628601173,0.02674770458152714
second_half,2021-01-02,2025-07-02,18,11,2,Mkt-RF,1.0810211423903562,0.12053849181546981,8.96826504221798,0.8447656984320353,1.317276586348677
second_half,2021-01-02,2025-07-02,18,11,2,SMB,0.22490278154235938,0.17485477091513651,1.2862261656647218,-0.11781256945130819,0.567618132536027
second_half,2021-01-02,2025-07-02,18,11,2,HML,0.3520041894926723,0.12467149434739674,2.8234536798910397,0.1076480605717747,0.59636031841357
second_half,2021-01-02,2025-07-02,18,11,2,RMW,0.1347581002056864,0.2418157615378036,0.5572759167917984,-0.3392007924084086,0.6087169928197814
second_half,2021-01-02,2025-07-02,18,11,2,CMA,-0.035652149463620636,0.17035899570023957,-0.2092765886361145,-0.3695557810360902,0.2982514821088489
second_half,2021-01-02,2025-07-02,18,11,2,Mom,-0.015064901060366426,0.11134532109142697,-0.13529891433872157,-0.23330173039956328,0.20317192827883043
rolling_16,2016-07-02,2020-07-02,16,9,2,alpha,0.0007739223531869957,0.006110541758114006,0.12665363953356956,-0.011202739492716458,0.012750584199090448
rolling_16,2016-07-02,2020-07-02,16,9,2,Mkt-RF,1.1353889781955546,0.1768082006249994,6.421585504417032,0.7888449049705557,1.4819330514205535
rolling_16,2016-07-02,2020-07-02,16,9,2,SMB,-0.0846204105688936,0.3316715469945099,-0.25513316211684056,-0.734696642678133,0.5654558215403458
rolling_16,2016-07-02,2020-07-02,16,9,2,HML,-0.15741369847830833,0.1336036404183565,-1.1782141413616782,-0.4192768336982871,0.10444943674167045
rolling_16,2016-07-02,2020-07-02,16,9,2,RMW,-0.10211932730520357,0.4658014882446617,-0.21923357885787925,-1.0150902442647405,0.8108515896543333
rolling_16,2016-07-02,2020-07-02,16,9,2,CMA,0.25587263851609293,0.5791648076472657,0.44179590185308615,-0.8792903844725479,1.391035661504734
rolling_16,2016-07-02,2020-07-02,16,9,2,Mom,-0.4379073758121786,0.3305112523298634,-1.3249393862546308,-1.085709430378711,0.2098946787543537
rolling_16,2016-10-02,2020-10-02,16,9,2,alpha,0.004126417041337165,0.006825580501642427,0.6045518092335491,-0.009251720741881991,0.01750455482455632
rolling_16,2016-10-02,2020-10-02,16,9,2,Mkt-RF,1.1299997776650812,0.15018970312646737,7.523816574253189,0.8356279595372051,1.4243715957929572
rolling_16,2016-10-02,2020-10-02,16,9,2,SMB,-0.04674240234505883,0.35575136917131867,-0.13139064637738376,-0.7440150859208434,0.6505302812307256
rolling_16,2016-10-02,2020-10-02,16,9,2,HML,-0.13588779731634815,0.11914611255361238,-1.1405138984723693,-0.3694141779214284,0.0976385832887321
rolling_16,2016-10-02,2020-10-02,16,9,2,RMW,-0.15869518596113202,0.42821609809958927,-0.3705960300544905,-0.9979987382363269,0.680608366314063
rolling_16,2016-10-02,2020-10-02,16,9,2,CMA,0.1896267520166254,0.5695933325074005,0.3329160318325209,-0.9267761796978796,1.3060296837311305
rolling_16,2016-10-02,2020-10-02,16,9,2,Mom,-0.43348462335628274,0.2586977483161363,-1.675641269310747,-0.9405322100559099,0.07356296334334439
rolling_16,2017-01-02,2021-01-04,16,9,2,alpha,-0.014020681366727624,0.012370875789857867,-1.1333620678838545,-0.038267597914849044,0.010226235181393793
rolling_16,2017-01-02,2021-01-04,16,9,2,Mkt-RF,1.2375404081118155,0.1777360608914935,6.962798668455494,0.8891777287644883,1.5859030874591427
rolling_16,2017-01-02,2021-01-04,16,9,2,SMB,-0.3911050095210022,0.4065871787393344,-0.9619216492110344,-1.1880158798500977,0.4058058608080933
rolling_16,2017-01-02,2021-01-04,16,9,2,HML,-0.16473944540892227,0.1925004575894062,-0.8557872925180429,-0.5420403422841584,0.2125614514663139
rolling_16,2017-01-02,2021-01-04,16,9,2,RMW,-0.06434592829952121,0.6523136051970225,-0.09864262800418885,-1.3428805944856852,1.214188737886643
rolling_16,2017-01-02,2021-01-04,16,9,2,CMA,0.08289183164629893,0.5606645976930852,0.1478456674228519,-1.016010779832148,1.181794443124746
rolling_16,2017-01-02,2021-01-04,16,9,2,Mom,-0.3220197511377674,0.29661108710006207,-1.0856632308863547,-0.903377481853889,0.25933797957835425
rolling_16,2017-04-02,2021-04-05,16,9,2,alpha,0.010261518361351139,0.010346735908209073,0.9917638231405594,-0.010018084018738644,0.03054112074144092
rolling_16,2017-04-02,2021-04-05,16,9,2,Mkt-RF,0.8865818538631478,0.3223681587109107,2.750215335808664,0.2547402627897629,1.5184234449365328
rolling_16,2017-04-02,2021-04-05,16,9,2,SMB,0.14588266736000643,0.46149696000885276,0.3161075369970108,-0.758651374257345,1.050416708977358
rolling_16,2017-04-02,2021-04-05,16,9,2,HML,-0.10392722165874685,0.19905900335615312,-0.5220925449566426,-0.49408286823680697,0.2862284249193133
rolling_16,2017-04-02,2021-04-05,16,9,2,RMW,0.9070367277406037,1.1133867136179507,0.8146645874668177,-1.2752012309505798,3.0892746864317875
rolling_16,2017-04-02,2021-04-05,16,9,2,CMA,0.06401051366545646,0.8610938826241958,0.0743362773294632,-1.6237334962779673,1.7517545236088803
rolling_16,2017-04-02,2021-04-05,16,9,2,Mom,-0.36741843926112366,0.3052532393199541,-1.2036512375090982,-0.9657147883282335,0.23087790980598627
rolling_16,2017-07-02,2021-07-02,16,9,2,alpha,0.01119291953336378,0.012542465669244413,0.8924018473345414,-0.013390313178355269,0.03577615224508283
rolling_16,2017-07-02,2021-07-02,16,9,2,Mkt-RF,0.8057284046343418,0.3734273970185415,2.15765744845533,0.07381070647800048,1.5376461027906831
rolling_16,2017-07-02,2021-07-02,16,9,2,SMB,0.20738085033474865,0.49945303560189924,0.41521591731809276,-0.7715470994449739,1.1863088001144713
rolling_16,2017-07-02,2021-07-02,16,9,2,HML,-0.07754881639780248,0.2509809679260366,-0.3089828565035095,-0.5694715135328341,0.4143738807372292
rolling_16,2017-07-02,2021-07-02,16,9,2,RMW,0.9771850757306451,1.1846253235338733,0.8248895716795838,-1.3446805583957466,3.2990507098570365
rolling_16,2017-07-02,2021-07-02,16,9,2,CMA,-0.15719191847902025,1.042499096830013,-0.15078374547949516,-2.200490148265845,1.886106311307805
rolling_16,2017-07-02,2021-07-02,16,9,2,Mom,-0.40965146582148687,0.30680447998777216,-1.3352199610573279,-1.0109882465975204,0.1916853149545466
rolling_16,2017-10-02,2021-10-04,16,9,2,alpha,0.006369023048189587,0.009208624683602933,0.6916367282869504,-0.011679881331672162,0.024417927428051333
rolling_16,2017-10-02,2021-10-04,16,9,2,Mkt-RF,0.6430713945091129,0.28906068972852456,2.2246933511196647,0.07651244264120471,1.209630346377021
rolling_16,2017-10-02,2021-10-04,16,9,2,SMB,0.44991982166328326,0.5137649214014229,0.8757309090624831,-0.5570594242835057,1.4568990676100722
rolling_16,2017-10-02,2021-10-04,16,9,2,HML,-0.33089976168479107,0.2083482443390233,-1.5882051837516447,-0.7392623205892768,0.07746279721969457
rolling_16,2017-10-02,2021-10-04,16,9,2,RMW,1.6285441490198085,1.0596053744658351,1.5369345874078686,-0.4482823849332285,3.7053706829728457
rolling_16,2017-10-02,2021-10-04,16,9,2,CMA,0.009490314841576017,0.8860430007953118,0.010710896461071883,-1.7271539667172353,1.7461345964003872
rolling_16,2017-10-02,2021-10-04,16,9,2,Mom,-0.526819968842083,0.29135354961902105,-1.808181055391163,-1.0978729260953641,0.04423298841119816
rolling_16,2018-01-02,2022-01-03,16,9,2,alpha,0.012376637073832129,0.010028646911528764,1.2341283109293792,-0.0072795108727642475,0.03203278502042851
rolling_16,2018-01-02,2022-01-03,16,9,2,Mkt-RF,0.7254003805249345,0.21652247404164304,3.3502313500510836,0.30101633140331413,1.149784429646555
rolling_16,2018-01-02,2022-01-03,16,9,2,SMB,0.17591379901789575,0.2980233191388274,0.5902685720238902,-0.408211906494206,0.7600395045299975
rolling_16,2018-01-02,2022-01-03,16,9,2,HML,-0.004851332524351604,0.2699892135783438,-0.017968616079337828,-0.5340301911379055,0.5243275260892022
rolling_16,2018-01-02,2022-01-03,16,9,2,RMW,1.080392965029929,0.42167887632042267,2.562122566957722,0.25390236744190064,1.9068835626179577
rolling_16,2018-01-02,2022-01-03,16,9,2,CMA,-0.5959355636636889,0.8099458098697092,-0.7357721422863504,-2.1834293510083187,0.991558223680941
rolling_16,2018-01-02,2022-01-03,16,9,2,Mom,-0.5248106746838583,0.29231533817801986,-1.7953579786642908,-1.0977487375127772,0.04812738814506057
rolling_16,2018-04-02,2022-04-04,16,9,2,alpha,0.011083516088355755,0.011180345148143004,0.9913393496797965,-0.010829960402004533,0.03299699257871604
rolling_16,2018-04-02,2022-04-04,16,9,2,Mkt-RF,0.937373825710935,0.22002220298280017,4.26036015003546,0.5061303078646466,1.3686173435572233
rolling_16,2018-04-02,2022-04-04,16,9,2,SMB,-0.00239100096029754,0.3717574236543835,-0.006431615909089182,-0.7310355513228892,0.7262535494022941
rolling_16,2018-04-02,2022-04-04,16,9,2,HML,-0.041806203472805115,0.28591233801598814,-0.14622035468251574,-0.6021943859841419,0.5185819790385315
rolling_16,2018-04-02,2022-04-04,16,9,2,RMW,0.6233104526400968,0.3733207800094489,1.6696377110974656,-0.10839827617842313,1.3550191814586166
rolling_16,2018-04-02,2022-04-04,16,9,2,CMA,0.15068550828061378,0.3390126987290042,0.4444833743560353,-0.5137793812282344,0.815150397789462
rolling_16,2018-04-02,2022-04-04,16,9,2,Mom,-0.3923990999112591,0.28376018641825695,-1.38285467339266,-0.9485690652910427,0.16377086546852448
