fecha,hasta,candidatas,cobertura universo,retorno,spy,universo_ew,turnover_pct,capital,spy_capital,universo_capital
2016-01-02,2016-04-04,"ICE, BKNG, GT, HSIC, FAST, ROP, CTAS, DHR, BF-B, NVDA, CINF, BRK-B, NEE, ORLY, IFF, SPG, NI, MPC, PPG, CB",254/470,0.05384522206038793,0.03130927561690311,0.04423693693686276,,1.053845222060388,1.031309275616903,1.0442369369368627
2016-04-02,2016-07-05,"FAST, GOOG, HSIC, CME, CPRI, ICE, BRK-B, BKNG, LRCX, CINF, NVDA, NEE, BF-B, ORLY, ROP, KIM, SPG, APH, O, CNC",267/476,0.04097662200848033,0.015727913753366574,0.018972794778923684,40.0,1.0970282393801996,1.0475296189568528,1.0640490300419378
2016-07-02,2016-10-03,"GOOG, CME, CPRI, FAST, ICE, BRK-B, BKNG, HSIC, NVDA, LNT, CINF, NEE, KIM, BF-B, ORLY, CTAS, LRCX, APH, CMCSA, GPC",278/479,0.0422593990368993,0.040592908667524075,0.05187922539969625,20.0,1.1433879935029145,1.0900518931056946,1.1192510695078117
2016-10-02,2017-01-03,"BKNG, CTAS, GOOG, NEE, CME, ICE, NVDA, LRCX, CSX, DHR, URI, PLD, BRK-B, CINF, ORLY, APH, PFG, CMCSA, FAST, BF-B",284/483,0.0978415108992798,0.04999345400810884,0.05524570183291184,25.0,1.2552588023313356,1.1445473522901262,1.1810848803700078
2017-01-02,2017-04-03,"BKNG, BRK-B, CSX, ALK, CTAS, GOOG, CME, BBT, LRCX, PEG, URI, FAST, UAL, NVDA, COO, NEE, CF, DHR, UNP, LNC",287/484,0.07232575380260778,0.049341726939596375,0.04470873715600134,40.0,1.346046341427308,1.2010212952162636,1.2338896938453978
2017-04-02,2017-07-03,"NVDA, CTAS, FAST, ALB, BKNG, GOOG, LRCX, CSX, CME, BRK-B, MPC, NEE, RJF, ALK, COO, URI, LNC, PFG, CHTR, HST",292/487,0.05463263001130567,0.034254945508044976,0.03482518602195037,30.0,1.4195843931765777,1.2421622142378983,1.2768601319641313
2017-07-02,2017-10-02,"NVDA, NEE, GOOG, CSX, LRCX, BKNG, CME, CTAS, ALB, PPL, DAL, MPC, HRB, SHW, COO, BRK-B, ROP, CNC, PLD, RJF",292/489,0.07824885602497753,0.04691043585210153,0.04308062623099074,35.0,1.5306652479735567,1.3004325851068097,1.3318680660585316
2017-10-02,2018-01-02,"LRCX, GOOG, NVDA, NEE, CME, CF, BRK-B, CNC, CPRI, CTAS, AOS, ALB, MPC, PLD, GILD, ROP, BKNG, AEE, KLAC, WMT",294/492,0.07750440595487094,0.06835305297825878,0.06422145843923842,35.0,1.6492985487335123,1.3893211224912694,1.4174025757094584
2018-01-02,2018-04-02,"NVDA, LRCX, GOOG, NEE, FAST, CME, TSCO, CPRI, CNC, CF, MU, BRK-B, CTAS, WMT, AMAT, RJF, MPC, SHW, BIIB, BF-B",295/491,-0.02729092629069087,-0.044251868528540905,-0.038270763037003636,40.0,1.6042876636086827,1.3278410668348608,1.3631574976064431
2018-04-02,2018-07-02,"NVDA, CME, GOOG, NEE, LRCX, MPC, FAST, BRK-B, CPRI, UNP, BKNG, MU, CTAS, PLD, CF, FCX, PEG, AMZN, CSX, URI",300/494,0.03874391572805426,0.04720953484801127,0.03183365190162019,40.0,1.6664440496510946,1.3905278259522216,1.4065517788723303
2018-07-02,2018-10-02,"NVDA, CPRT, CME, GOOG, NEE, CSX, CF, UNP, BKNG, PSA, CTAS, ORLY, SPG, TSCO, FAST, PLD, TJX, BRK-B, MPC, MU",301/496,0.09269625970572261,0.08113609891176377,0.05885765499184359,30.0,1.8209171800626085,1.5033498291782408,1.4893381182013619
2018-10-02,2019-01-02,"NVDA, CME, GOOG, CSX, ANET, SPG, ORLY, TSCO, UNP, FAST, BRK-B, CTAS, MPC, NEE, CF, TJX, COO, PLD, SHW, CPRT",302/496,-0.13336862229683843,-0.13738894298255622,-0.1403578128514187,15.0,1.5780639644410144,1.296806185214436,1.280297877334371
2019-01-02,2019-04-02,"CME, AVGO, FAST, BRK-B, GOOG, ORLY, CSX, ANET, TSCO, MPC, NEE, LRCX, UNP, SPG, O, CTAS, ALK, CPRT, AZO, CINF",303/497,0.20746799443245972,0.17615817404109135,0.19290333519307823,30.0,1.905461730229728,1.5252491948870042,1.5272716079127897
