date,strategy,spy
2016-01-04,99940.02498750627,99949.02548725638
2016-01-05,99679.80743733872,100118.09268915051
2016-01-06,98308.5609135004,98855.17769941207
2016-01-07,95878.45145405641,96483.48531689281
2016-01-08,94545.4044602978,95424.45527558218
2016-01-11,94607.01198362175,95518.9104494301
2016-01-12,95609.18495222897,96289.60743337723
2016-01-13,92858.82664423567,93888.07383930312
2016-01-14,93762.83717190655,95429.42281140192
2016-01-15,91611.23492339197,93380.88123277984
2016-01-19,91826.53061594805,93505.21361481897
2016-01-20,91068.72875353305,92306.93958485089
2016-01-21,90718.90038306585,92824.02226721818
2016-01-22,92677.64519121629,94728.37031968126
2016-01-25,91477.3115728629,93296.3881280487
2016-01-26,93142.11975634747,94569.23818942663
2016-01-27,92240.343515788,93540.01336303446
2016-01-28,92603.96831863878,94027.29083048331
2016-01-29,95540.88462603869,96319.38565081843
2016-02-01,95268.82172402537,96284.63989755748
2016-02-02,93388.04434637865,94549.34104867037
2016-02-03,93417.50784049196,95116.15308418969
2016-02-04,94208.7476141014,95265.32314532755
2016-02-05,91938.01523153034,93450.49872752902
2016-02-08,90617.59813284314,92192.5872702467
2016-02-09,91716.03514098392,92197.54580690736
2016-02-10,92280.52979220044,92118.00223967778
2016-02-11,92017.49397032826,90919.74620802788
2016-02-12,93549.242388234,92794.21705229972
2016-02-16,95579.75054709545,94360.41270265635
2016-02-17,97902.00897246458,95901.74367643696
2016-02-18,98579.61165908552,95509.00237526788
2016-02-19,99235.09639655046,95464.23155877652
2016-02-22,100351.56442294402,96846.45739977979
2016-02-23,99409.26518242965,95623.32769239479
2016-02-24,99536.15073495278,96060.86680753251
2016-02-25,100322.03585159822,97224.31409180781
2016-02-26,99720.49302075869,97000.61299505558
2016-02-29,99154.21519082338,96239.86908106612
2016-03-01,101078.63629141923,98502.15868648277
2016-03-02,100928.66890830769,98944.70133407661
2016-03-03,101533.48398577452,99332.5380935396
2016-03-04,101651.78472355644,99655.70689575496
2016-03-07,101389.24267126412,99735.25946214364
2016-03-08,100833.22222639408,98646.33421432361
2016-03-09,100771.01126865583,99133.62968009063
2016-03-10,100879.93027536989,99213.1912456384
2016-03-11,102410.81731503119,100814.17764505143
2016-03-14,102393.1404694653,100684.92272298802
2016-03-15,102368.79990696459,100520.84105523182
2016-03-16,102890.30046991624,101102.57369652858
2016-03-17,103648.70497406283,101743.96176345773
2016-03-18,104437.67513396314,102143.78540283359
2016-03-21,104689.71253004485,102288.7078608792
2016-03-22,104291.62320790057,102233.74099713464
2016-03-23,103508.38053572338,101559.0830390359
2016-03-24,103518.820202095,101514.08724356719
2016-03-28,103671.11767109239,101574.0486406088
2016-03-29,104885.49615257507,102513.63284326819
2016-03-30,105070.50160101528,102963.42881309158
2016-03-31,104974.85492562913,102713.55816169475
2016-04-01,105378.21202949951,103413.2067845968
2016-04-04,103646.56972103096,103078.35707387776
2016-04-05,102654.07074372949,102048.83527523551
2016-04-06,103274.52443113716,103163.35413151815
2016-04-07,101569.84647323459,101928.88548367504
2016-04-08,100799.55728177167,102203.75579903428
2016-04-11,100654.41189115815,101963.89221254969
2016-04-12,101149.15636537156,102913.44748348494
2016-04-13,102439.72028942793,103952.98534619852
2016-04-14,102190.5499175886,103957.97987949556
2016-04-15,102479.37254585077,103843.04261955028
2016-04-18,103125.27469208556,104572.69443887087
2016-04-19,103181.42619225234,104902.53161797469
2016-04-20,103232.98688568988,105002.48527802888
2016-04-21,102328.49220761369,104437.77904573748
2016-04-22,102200.44114583166,104437.77904573748
2016-04-25,102212.68152197014,104257.82286133993
2016-04-26,102756.83785165769,104412.75238429778
2016-04-27,103934.44967925952,104627.68830009272
2016-04-28,101925.85024961563,103678.11503083927
2016-04-29,101374.6453877127,103118.35833604944
2016-05-02,102572.79263988721,103937.98374798926
2016-05-03,101576.02591762076,103033.41527336361
2016-05-04,100816.6807114888,102458.63898204634
2016-05-05,100838.34784554988,102438.63385138095
2016-05-06,101510.52666879074,102813.51182174894
2016-05-09,101568.52620709976,102898.44588527568
2016-05-10,102467.38977958466,104177.84733447384
2016-05-11,100621.43730855304,103203.31039789437
2016-05-12,100974.70481083062,103233.27759767653
2016-05-13,100058.06388405972,102333.68565802973
2016-05-16,100383.55632828684,103343.25632096114
2016-05-17,99314.17032447284,102378.68145349843
2016-05-18,99910.84886424892,102408.6576524397
2016-05-19,99186.33797957093,102053.80281105527
2016-05-20,100286.47900082768,102698.52056684911
2016-05-23,100001.82253405928,102558.64663705508
2016-05-24,101874.44660596887,103887.95742258715
2016-05-25,102188.07607127436,104592.68157121807
2016-05-26,102120.43501633753,104622.67576847751
2016-05-27,102899.75760185509,105072.50773493727
2016-05-31,102756.45470838642,104872.57341735162
2016-06-01,103483.87529731056,105087.47333651017
2016-06-02,104114.64197070629,105407.32144901995
2016-06-03,103873.13996922746,105092.4678698072
2016-06-06,104280.40104052814,105627.2338997937
2016-06-07,104567.87222854086,105792.12549186834
2016-06-08,105105.84206741229,106136.98226749961
2016-06-09,104919.13021768784,105992.05081029491
2016-06-10,103873.04597921515,104987.51067729689
2016-06-13,103338.84093675566,104177.84733447384
2016-06-14,103124.76958790346,103972.92748275025
2016-06-15,102822.75683126396,103828.03202218191
2016-06-16,103123.52154092789,104137.90906641583
2016-06-17,102451.90815228531,103750.07230695283
2016-06-20,103329.086591217,104418.21487386769
2016-06-21,103637.77257094665,104714.63817525645
2016-06-22,104123.90571430372,104543.82513649814
2016-06-23,105670.66950466504,105905.1999258812
2016-06-24,100956.13537829339,102102.25428361597
2016-06-27,98696.5456356396,100273.63415492674
2016-06-28,100537.55546983126,102082.16816051873
2016-06-29,102279.83034610092,103820.40073527042
2016-06-30,103975.03591963067,105237.06635812543
2016-07-01,104069.62132021778,105458.11270294501
2016-07-05,103691.9081299523,104699.56458377444
2016-07-06,103873.4206117483,105327.48990869935
2016-07-07,104024.53651534987,105262.19201031516
2016-07-08,105900.63257057907,106829.60254714945
2016-07-11,106838.52680201444,107206.37034092714
2016-07-12,106714.67654371294,107985.0855756268
2016-07-13,106599.88564132704,107969.99398582659
2016-07-14,107008.46968681259,108572.82965519816
2016-07-15,106841.47182023589,108427.16026694777
2016-07-18,107225.94685162013,108718.50804260766
2016-07-19,107126.58772214002,108607.98936977741
2016-07-20,107468.12125792999,109060.12512096518
2016-07-21,106616.94385031184,108648.19761260826
2016-07-22,107450.57464311761,109135.49307837528
2016-07-25,107500.29746512177,108839.0877753047
2016-07-26,107765.121031477,108889.35707800234
2016-07-27,107705.80768563601,108773.78087776141
2016-07-28,108021.2263263081,108899.39114039186
2016-07-29,108903.60219427838,109075.24370824268
2016-08-01,109153.00412480741,108984.77516187329
2016-08-02,108158.14402453172,108286.4764128353
2016-08-03,108718.8022305975,108602.9678390031
2016-08-04,108092.37605480867,108718.50804260766
2016-08-05,109482.32377985763,109607.71495266027
2016-08-08,109303.85443372106,109542.41705427608
2016-08-09,109257.79010471313,109607.71495266027
2016-08-10,108932.48898991384,109336.47129841581
2016-08-11,109730.19884335602,109843.82588980279
2016-08-12,110344.89934430852,109748.42580425003
2016-08-15,110538.19590649779,110064.86323546327
2016-08-16,109874.39646186541,109497.20527898913
2016-08-17,110112.47207062723,109703.18703148578
2016-08-18,110766.2258978823,109949.350029336
2016-08-19,110599.57150826049,109788.5800521263
2016-08-22,110654.00350049551,109783.54052303381
2016-08-23,110638.20593650787,110004.61386533067
2016-08-24,110021.30569193125,109441.95044215355
2016-08-25,110029.7241408806,109366.60048306166
2016-08-26,109939.72080296709,109160.618730565
2016-08-29,110631.1223157206,109698.1385032342
2016-08-30,110222.7567975258,109517.30940040456
2016-08-31,110099.99006365667,109205.83050585196
2016-09-01,110613.82404206718,109210.86103578536
2016-09-02,110846.7014399621,109703.18703148578
2016-09-06,111050.63726975869,110034.7790466129
2016-09-07,110911.70782958447,110024.6819901097
2016-09-08,110656.34015141026,109773.50646064429
2016-09-09,107765.50033075728,107146.11197163544
2016-09-12,109344.11351502629,108683.3663263466
2016-09-13,108039.39875890728,107120.98631944571
2016-09-14,108178.12640143013,107080.82307241035
2016-09-15,109835.91594131962,108150.85008613352
2016-09-16,109818.56913263923,107732.77615211556
2016-09-19,110397.97970672339,107752.97026512191
2016-09-20,109950.28022737961,107758.0187933735
2016-09-21,111291.34244818382,108969.81855945948
2016-09-22,111737.65417413955,109656.47239663017
2016-09-23,111064.21822163467,109055.66153805469
2016-09-26,109727.35130597289,108172.06110411747
2016-09-27,110509.53476153949,108843.60535316975
2016-09-28,110588.60929752307,109383.83387272617
2016-09-29,109763.57624722042,108394.19634718739
2016-09-30,110284.17226083827,109212.16591385395
2016-10-03,109877.9327733857,108949.62444645313
2016-10-04,109508.1148042793,108394.19634718739
2016-10-05,109877.27463371247,108873.90552183839
2016-10-06,110381.92621680385,108949.62444645313
2016-10-07,110358.03797454374,108575.97036172188
2016-10-10,110844.9260790053,109141.4955174908
2016-10-11,109401.54755291095,107763.04932330691
2016-10-12,109650.1952626539,107904.45311014687
2016-10-13,109461.27480335672,107551.01113674017
2016-10-14,109846.26137293894,107606.55394666674
2016-10-17,109225.80332493506,107232.91786025367
2016-10-18,110200.24372545458,107904.45311014687
2016-10-19,110401.26369624442,108192.24621796473
2016-10-20,110069.9942695968,107990.27809042389
2016-10-21,110175.3889208961,108040.79936957615
2016-10-24,111194.27704496219,108500.25143710714
2016-10-25,111271.02259986411,108136.70340803816
2016-10-26,110755.6760276278,107919.59869490164
2016-10-27,109855.67355051117,107631.78758876558
2016-10-28,109965.67923021813,107313.6943122791
2016-10-31,110516.38457277844,107318.75183968978
2016-11-01,108999.03037413232,106541.16149987683
2016-11-02,108641.91853877043,105899.96241528864
2016-11-03,108831.18103399148,105415.25870734062
2016-11-04,108439.95370791273,105299.15155671317
2016-11-07,111465.18969682908,107621.6995314215
2016-11-08,112719.6202953545,108106.42123768771
2016-11-09,113821.55027306467,109252.59013650304
2016-11-10,113380.6568539091,109525.20166292976
2016-11-11,116133.5731532747,109272.73925371392
2016-11-14,114863.49034282798,109358.60023062731
2016-11-15,116012.1526570175,110211.88249757772
2016-11-16,116470.08349370588,110004.88384010347
2016-11-17,117375.64600518235,110570.38199839511
2016-11-18,117205.16349507247,110322.96811743088
2016-11-21,118058.43874354717,111156.06527053402
2016-11-22,118197.76156494457,111373.16998367054
