fecha,hasta,held,sold,bought,turnover_pct,comision_pagada
2016-01-02,2016-04-04,,,"BF-B, BKNG, CTAS, DHR, FAST, GT, HSIC, ICE, NVDA, ROP",100.0,10.0
2016-04-02,2016-07-05,"BKNG, FAST, HSIC, ICE","BF-B, CTAS, DHR, GT, NVDA, ROP","BRK-B, CINF, CME, CPRI, GOOG, LRCX",121.97852427483924,16.0
2016-07-02,2016-10-03,"BKNG, BRK-B, CME, CPRI, FAST, GOOG, HSIC, ICE","CINF, LRCX","LNT, NVDA",45.35975389849363,12.0
2016-10-02,2017-01-03,"BKNG, CME, GOOG, ICE, NVDA","BRK-B, CPRI, FAST, HSIC, LNT","CSX, CTAS, DHR, LRCX, NEE",100.14557370558681,15.0
2017-01-02,2017-04-03,"BKNG, CME, CSX, CTAS, GOOG, LRCX","DHR, ICE, NEE, NVDA","ALK, BBT, BRK-B, PEG",84.70809478767956,14.0
2017-04-02,2017-07-03,"BKNG, BRK-B, CME, CSX, CTAS, GOOG, LRCX","ALK, BBT, PEG","ALB, FAST, NVDA",63.4803665067135,13.0
2017-07-02,2017-10-02,"ALB, BKNG, CME, CSX, CTAS, GOOG, LRCX, NVDA","BRK-B, FAST","NEE, PPL",42.55399204955048,12.0
2017-10-02,2018-01-02,"CME, CTAS, GOOG, LRCX, NEE, NVDA","ALB, BKNG, CSX, PPL","BRK-B, CF, CNC, CPRI",82.90106752765529,14.0
2018-01-02,2018-04-02,"CF, CME, CNC, CPRI, GOOG, LRCX, NEE, NVDA","BRK-B, CTAS","FAST, TSCO",44.62928056877688,12.0
2018-04-02,2018-07-02,"CME, CPRI, FAST, GOOG, LRCX, NEE, NVDA","CF, CNC, TSCO","BRK-B, MPC, UNP",61.06993539053881,13.0
2018-07-02,2018-10-02,"CME, GOOG, NEE, NVDA, UNP","BRK-B, CPRI, FAST, LRCX, MPC","BKNG, CF, CPRT, CSX, PSA",100.02268186524303,15.0
2018-10-02,2019-01-02,"CME, CSX, GOOG, NVDA, UNP","BKNG, CF, CPRT, NEE, PSA","ANET, FAST, ORLY, SPG, TSCO",100.03117483319444,15.0
2019-01-02,2019-04-02,"ANET, CME, CSX, FAST, GOOG, ORLY, TSCO","NVDA, SPG, UNP","AVGO, BRK-B, MPC",62.88191033509358,13.0
2019-04-02,2019-07-02,"ANET, AVGO, CSX, FAST, GOOG, TSCO","BRK-B, CME, MPC, ORLY","CPRT, LRCX, NEE, NSC",80.37573100964349,14.0
2019-07-02,2019-10-02,"AVGO, CPRT, CSX, FAST, LRCX, NEE, NSC, TSCO","ANET, GOOG","CME, CTAS",43.022438075728154,12.0
2019-10-02,2020-01-02,"CME, CPRT, CTAS, LRCX, NEE","AVGO, CSX, FAST, NSC, TSCO","AMAT, BKNG, BMY, KLAC, NVDA",100.01677171209167,15.0
2020-01-02,2020-04-02,"BMY, CPRT, CTAS, LRCX, NEE, NVDA","AMAT, BKNG, CME, KLAC","GOOG, ODFL, PM, PPL",83.67780694311642,14.0
2020-04-02,2020-07-02,"GOOG, LRCX, NEE, NVDA, ODFL","BMY, CPRT, CTAS, PM, PPL","ANET, BIIB, CME, CMG, FAST",101.96123512672072,15.0
2020-07-02,2020-10-02,"ANET, CMG, FAST, GOOG, LRCX, NEE, NVDA, ODFL","BIIB, CME","AVGO, CTAS",46.694597065464386,12.0
2020-10-02,2021-01-04,"ANET, AVGO, CMG, CTAS, NEE, NVDA, ODFL","FAST, GOOG, LRCX","MNST, MPC, PEG",63.59450111000511,13.0
2021-01-02,2021-04-05,"ANET, AVGO, CMG, MNST, MPC, NEE, NVDA, PEG","CTAS, ODFL","BKR, LRCX",47.738659525375716,12.0
2021-04-02,2021-07-02,"ANET, AVGO, LRCX","BKR, CMG, MNST, MPC, NEE, NVDA, PEG","CI, DTE, FTNT, GOOG, KIM, LH, PPL",140.61313032016287,17.0
2021-07-02,2021-10-04,"ANET, DTE, FTNT, GOOG, KIM, LRCX","AVGO, CI, LH, PPL","AOS, NVDA, ODFL, TSCO",84.06431043629836,14.0
2021-10-02,2022-01-03,"ANET, FTNT, GOOG, NVDA, ODFL, TSCO","AOS, DTE, KIM, LRCX","CMG, CPRT, CTAS, ORLY",82.81079550420036,14.0
