symbol,prices_first,prices_last,prices_rows,archive_prices_first,archive_prices_last,archive_prices_rows,facts_first,facts_last,facts_rows,candidate_facts_first,candidate_facts_last,candidate_facts_rows
A,1999-11-18,2015-12-31,4055,2000-01-03,2015-12-31,4025,2009-10-05,2015-12-21,867,,,0
AABA,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
AAL,2005-09-27,2015-12-31,2584,2005-09-27,2015-12-31,2584,2010-07-21,2015-10-23,594,,,0
AAMRQ,,,0,,,0,,,0,,,0
AAP,2001-11-29,2015-12-31,3547,2001-11-29,2015-12-31,3547,2010-06-02,2015-11-17,848,,,0
AAPL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-22,2015-10-28,1195,,,0
ABBV,2013-01-02,2015-12-31,756,2012-12-10,2015-12-31,771,2013-05-08,2015-11-06,285,,,0
ABC,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-06,2015-11-24,1261
ABI,,,0,2009-05-11,2014-05-06,671,,,0,,,0
ABKFQ,,,0,,,0,,,0,,,0
ABS,,,0,2000-01-03,2006-06-01,1612,,,0,,,0
ABT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-05,902,,,0
ABX,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ACAS,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ACKH,,,0,2000-01-03,2007-12-12,1998,,,0,,,0
ACN,2001-07-19,2015-12-31,3636,2001-07-19,2015-12-31,3636,2009-12-18,2015-12-17,870,,,0
ACS,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ACV,,,0,2015-05-22,2015-12-31,155,,,0,,,0
ADBE,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-06-26,2015-09-23,1008,,,0
ADCT,,,0,,,0,,,0,,,0
ADI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-18,2015-11-24,982,,,0
ADM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-06,2015-11-03,1009,,,0
ADP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-11-06,2015-11-05,777,,,0
ADS,,,0,2001-06-08,2015-12-31,3664,,,0,2010-08-09,2015-11-05,734
ADSK,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-06-03,2015-12-09,1153,,,0
ADT,,,0,,,0,,,0,,,0
AEE,1998-01-02,2015-12-31,4529,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-06,1010,,,0
AEP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-04,2015-10-22,883,,,0
AES,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-05,1011,,,0
AET,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-31,2015-10-29,922
AFL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-03,648,,,0
AFS-A,,,0,,,0,,,0,,,0
AGC,,,0,,,0,,,0,,,0
AGN,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
AHM,,,0,,,0,,,0,,,0
AIG,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-03,2015-11-02,683,,,0
AIT,,,0,,,0,,,0,,,0
AIV,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-16,2015-11-05,729,,,0
AIZ,2004-02-05,2015-12-31,2998,2004-02-05,2015-12-31,2998,2009-08-06,2015-11-03,752,,,0
AKAM,1999-10-29,2015-12-31,4069,2000-01-03,2015-12-31,4025,2009-09-04,2015-11-09,850,,,0
AKS,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-04,2015-11-04,886
AL,,,0,2011-04-19,2015-12-31,1184,,,0,,,0
ALL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-27,2015-11-02,809,,,0
ALLE,2013-11-18,2015-12-31,534,2013-11-18,2015-12-31,534,2014-04-30,2015-10-29,239,,,0
ALTR,,,0,,,0,,,0,2009-07-22,2015-10-22,847
ALXN,,,0,2000-01-03,2015-12-31,4025,,,0,2010-07-30,2015-11-02,702
AM,,,0,,,0,,,0,,,0
AMAT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-01,2015-12-09,1114,,,0
AMCC,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
AMD,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-04,2015-11-03,746,,,0
AME,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-11-05,912,,,0
AMG,1997-11-21,2015-12-31,4556,2000-01-03,2015-12-31,4025,2010-08-09,2015-11-09,662,,,0
AMGN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-02,930,,,0
AMH,,,0,,,0,,,0,,,0
AMP,2005-09-15,2015-12-31,2592,2005-09-15,2015-12-31,2592,2009-08-05,2015-11-02,693,,,0
AMT,1998-02-27,2015-12-31,4491,2000-01-03,2015-12-31,4025,2009-08-06,2015-10-29,993,,,0
AMZN,1997-05-15,2015-12-31,4689,2000-01-03,2015-12-31,4025,2009-07-24,2015-10-23,1208,,,0
AN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-09,2015-10-28,682,,,0
ANDV,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
ANDW,,,0,2000-01-03,2007-12-27,2008,,,0,,,0
ANF,1996-09-26,2015-12-31,4849,2000-01-03,2015-12-31,4025,2010-09-08,2015-12-07,665,,,0
ANRZQ,,,0,,,0,,,0,,,0
