year,as_of,membership_snapshot,membership_source,members,aliases_verified,prices_year,adjusted_prices_year,adjusted_price_recent_10d,archive_prices_year,archive_adjusted_year,split_events_year,legacy_sec_recent,issuer_entities_filed_year,archive_ciks_filed_year,metric_source,pe,pb,ev_ebitda,roic,operating_margin,revenue_cagr_3y,fcf_cagr_3y,momentum_12m,rel_strength_6m,price_vs_sma200,debt_to_equity,volatility,max_drawdown,value_complete,quality_complete,momentum_complete,risk_complete,all_13,ranking_minimum,prices_253_recent
2008,2008-12-31,2008-12-29,fja_archive,498,0,309,309,309,451,451,5,0,2,2,issuer_exact_candidate_CIK,0,0,0,0,2,0,0,448,452,449,0,452,452,0,0,448,0,0,0,448
2009,2009-12-31,2009-12-30,fja_archive,499,0,322,322,322,460,460,2,251,386,152,issuer_exact_candidate_CIK,16,23,13,11,18,0,0,457,458,458,14,460,460,11,0,457,14,0,20,456
2010,2010-12-31,2010-12-31,fja_archive,497,0,329,329,329,458,458,1,314,643,268,issuer_exact_candidate_CIK,241,305,146,161,194,21,14,459,460,459,175,460,460,123,9,459,169,7,252,457
2011,2011-12-31,2011-12-30,fja_archive,497,0,340,340,340,459,459,3,327,697,286,issuer_exact_candidate_CIK,330,382,216,274,257,250,185,458,459,458,296,461,461,189,88,458,290,59,361,456
2012,2012-12-31,2012-12-28,fja_archive,497,0,349,349,349,465,465,4,338,704,283,issuer_exact_candidate_CIK,353,394,256,312,284,322,249,464,465,464,330,466,466,224,119,464,322,86,390,464
2013,2013-12-31,2013-12-31,fja_archive,497,0,356,356,356,466,466,2,345,704,276,issuer_exact_candidate_CIK,354,402,260,329,297,342,263,465,467,466,347,468,468,222,137,465,338,94,400,465
2014,2014-12-31,2014-12-24,fja_archive,499,0,363,363,363,469,469,2,353,703,266,issuer_exact_candidate_CIK,379,411,275,344,307,347,275,470,471,470,361,471,471,247,150,470,351,114,411,470
2015,2015-12-31,2015-12-31,fja_archive,502,0,379,379,379,476,476,1,373,705,259,issuer_exact_candidate_CIK,387,414,274,355,310,359,280,473,475,473,370,478,478,250,158,473,362,118,416,473
2016,2016-12-31,2016-12-30,hans_reviewed_extension,484,0,395,395,395,0,0,3,395,477,0,legacy_ticker_approximate,330,360,242,319,267,316,244,393,394,393,322,395,395,208,137,393,314,96,368,393
2017,2017-12-31,2017-12-29,hans_reviewed_extension,491,0,409,409,409,0,0,1,412,486,0,legacy_ticker_approximate,340,372,260,332,282,332,257,408,408,408,335,409,409,225,150,408,326,109,382,408
2018,2018-12-31,2018-12-24,hans_reviewed_extension,497,0,421,421,421,0,0,2,425,491,0,legacy_ticker_approximate,352,383,276,342,295,321,270,421,421,421,347,421,421,240,140,421,338,100,393,421
2019,2019-12-31,2019-12-23,hans_reviewed_extension,499,0,434,434,434,0,0,2,441,503,0,legacy_ticker_approximate,379,393,299,356,356,125,276,433,434,433,356,434,434,253,50,433,347,36,412,433
2020,2020-12-31,2020-12-21,hans_reviewed_extension,501,0,445,445,445,0,0,3,452,507,0,legacy_ticker_approximate,384,404,306,370,366,352,302,442,444,444,372,445,445,258,185,442,363,132,421,442
2021,2021-12-31,2021-12-20,hans_reviewed_extension,501,0,454,454,454,0,0,0,463,516,0,legacy_ticker_approximate,368,417,297,385,380,395,303,453,454,453,389,454,454,252,201,453,379,143,431,453
2022,2022-12-31,2022-12-22,hans_reviewed_extension,498,0,470,470,470,0,0,0,479,518,0,legacy_ticker_approximate,421,424,330,406,394,451,322,470,470,470,398,470,470,283,231,470,388,172,454,470
2023,2023-12-31,2023-12-31,hans_reviewed_extension,503,0,483,483,483,0,0,1,491,522,0,legacy_ticker_approximate,415,433,328,412,400,468,321,481,482,481,407,483,483,277,229,481,397,156,462,481
2024,2024-12-31,2024-12-31,hans_reviewed_extension,503,0,491,491,491,0,0,2,502,529,0,legacy_ticker_approximate,437,439,341,424,409,473,321,489,491,489,415,491,491,293,234,489,404,164,471,489
2025,2025-12-31,2025-12-22,hans_reviewed_extension,503,0,498,498,498,0,0,3,502,533,0,legacy_ticker_approximate,441,445,347,424,416,470,326,496,497,497,416,498,498,306,235,496,412,174,474,495
2026,2026-09-22,2026-09-21,hans_reviewed_extension,503,0,503,503,503,0,0,2,503,528,0,legacy_ticker_approximate,448,452,353,427,415,482,326,500,501,501,418,503,503,311,239,500,418,180,480,496
