symbol,cik,historical_name,sha256,accession,filed_date,source_url,candidate_status,member_in_fja
HSH,0000023666,HILLSHIRE BRANDS CO,80005950970911c15a17f7f5777ef22caa4576e12c35b2479880245cc5f59b75,0000023666-13-000008,2013-05-02,https://www.sec.gov/Archives/edgar/data/23666/000002366613000008/hsh-20130330.xml,missing,False
HSH,0000023666,HILLSHIRE BRANDS CO,eefb4c9a62c639badc052641879d2dff4a9405951cfcfff936127b11094bac00,0000023666-13-000014,2013-08-23,https://www.sec.gov/Archives/edgar/data/23666/000002366613000014/hsh-20130629.xml,missing,False
HSH,0000023666,HILLSHIRE BRANDS CO,637611c3eb87fc14acd4bf9bf5a847691fc04f26563f32d9b3f7caa47e5dd984,0000023666-13-000019,2013-10-31,https://www.sec.gov/Archives/edgar/data/23666/000002366613000019/hsh-20130928.xml,missing,False
HSH,0000023666,HILLSHIRE BRANDS CO,64e0bb8e72a2aef18fc87065750f91a2e02b3a2ce19bca75abd0225bfb7d5309,0000023666-14-000004,2014-01-30,https://www.sec.gov/Archives/edgar/data/23666/000002366614000004/hsh-20131228.xml,missing,False
HSH,0000023666,HILLSHIRE BRANDS CO,9ff3ebd4643a15b1f0bda83da5506db792bebda1373e0a138cb285abd62c1e20,0000023666-14-000008,2014-05-06,https://www.sec.gov/Archives/edgar/data/23666/000002366614000008/hsh-20140329.xml,missing,False
HSH,0000023666,HILLSHIRE BRANDS CO,4639cb5d1a762b730648aa00582a75564775de81c13beba21bc4294160b744bb,0000023666-14-000012,2014-08-22,https://www.sec.gov/Archives/edgar/data/23666/000002366614000012/hsh-20140628.xml,missing,False
KODK,0000031235,EASTMAN KODAK CO,c770913dcc9cfb17b9caa7f937c313d01f58301ab42956ff5688649dd5daebc5,0000031235-15-000010,2015-10-22,https://www.sec.gov/Archives/edgar/data/31235/000003123515000010/kodk-20150930.xml,missing,False
PEP,0000077476,PEPSICO INC,41809608fa890be7d991104f7e3bdbb17a067914a9c4056639ee3720432afcd3,0000077476-13-000020,2013-07-24,https://www.sec.gov/Archives/edgar/data/77476/000007747613000020/pep-20130615.xml,agrees,True
PEP,0000077476,PEPSICO INC,cea45607356263854e3ab176682968805b130a597b5de485c583cef75b3950c7,0000077476-14-000044,2014-07-23,https://www.sec.gov/Archives/edgar/data/77476/000007747614000044/pep-20140614.xml,agrees,True
S,0000101830,SPRINT NEXTEL CORP,e90afd67ee67feab8fd1d12b8f76be2d82801a09ff1639ef5e82730cea100c7c,0000101830-11-000036,2011-08-04,https://www.sec.gov/Archives/edgar/data/101830/000010183011000036/s-20110630.xml,agrees,True
S,0000101830,SPRINT NEXTEL CORP,0d97d33eca9fc6cec5287b75b787e9b4a78a5d30f8c8b2da3102c624c734d8a1,0000101830-11-000045,2011-11-03,https://www.sec.gov/Archives/edgar/data/101830/000010183011000045/s-20110930.xml,agrees,True
S,0000101830,SPRINT NEXTEL CORP,6831814e058217c34baf32309d3578cc4d02cd9c57d2a078457cfe1945dd29d3,0000101830-12-000015,2012-02-27,https://www.sec.gov/Archives/edgar/data/101830/000010183012000015/s-20111231.xml,agrees,True
S,0000101830,SPRINT NEXTEL CORP,bf24a6de08d5aeaffd2c6826533f96760625409b6d57100ccdcfdba1bea8b69b,0000101830-12-000044,2012-05-03,https://www.sec.gov/Archives/edgar/data/101830/000010183012000044/s-20120331.xml,agrees,True
S,0000101830,SPRINT NEXTEL CORP,01b08e55931894654d7316969e6e64481a675047e707a4e3f5b9d1c92250189f,0000101830-12-000089,2012-08-02,https://www.sec.gov/Archives/edgar/data/101830/000010183012000089/s-20120630.xml,agrees,True
S,0000101830,SPRINT NEXTEL CORP,a70666aa00a67d8958bd27dc77567cd679b152ed953f15b2d3c8b61407362f4f,0000101830-12-000107,2012-11-07,https://www.sec.gov/Archives/edgar/data/101830/000010183012000107/s-20120930.xml,agrees,True
S,0000101830,SPRINT NEXTEL CORP,67a12d502ceb08d7728a3e37997e6d5596280e5f7bfa20479705e89abfef5762,0000101830-13-000006,2013-02-28,https://www.sec.gov/Archives/edgar/data/101830/000010183013000006/s-20121231.xml,agrees,True
S,0000101830,SPRINT NEXTEL CORP,989a66d20840cbbe7ba02260999a3d82b17bf1297250945f50d1b675c920a4a9,0000101830-13-000020,2013-05-06,https://www.sec.gov/Archives/edgar/data/101830/000010183013000020/s-20130331.xml,agrees,True
S,0000101830,SPRINT CORP,2112a1c5b25eeee43428a4d7b6e8ee8ea7cee74ff178b7f7e2630015d1c52991,0000101830-13-000038,2013-08-05,https://www.sec.gov/Archives/edgar/data/101830/000010183013000038/s-20130630.xml,missing,False
S,0000101830,SPRINT CORP,daf5e69f525ad31cc6537f1b93d98b9fca9415f746fa3a08b12e9bd67ef4bc95,0000101830-13-000048,2013-11-06,https://www.sec.gov/Archives/edgar/data/101830/000010183013000048/s-20130930.xml,missing,False
S,0000101830,SPRINT CORP,7bb7fa44eb72eac32813cc6b2860b2227e8442cc5dd8625876d52e909bdba7d6,0000101830-14-000012,2014-02-24,https://www.sec.gov/Archives/edgar/data/101830/000010183014000012/s-20131231.xml,missing,False
S,0000101830,SPRINT CORP,038961c9f89acd26b5a2401935af2f0b57514e15accfa98fccb2f52477e66dc4,0000101830-14-000057,2014-08-08,https://www.sec.gov/Archives/edgar/data/101830/000010183014000057/s-20140630.xml,missing,False
S,0000101830,SPRINT CORP,30246e115aeafb03104eec11e6048a49aca53e1a730a4bcf0934dac9a587fa2d,0000101830-14-000073,2014-11-06,https://www.sec.gov/Archives/edgar/data/101830/000010183014000073/s-20140930.xml,missing,False
S,0000101830,SPRINT CORP,dce6df0aaa4fa3ac0b720b60726d5e8587e4041efb3f20ece6ae0500fdeb3d69,0000101830-15-000005,2015-02-05,https://www.sec.gov/Archives/edgar/data/101830/000010183015000005/s-20141231.xml,missing,False
S,0000101830,SPRINT CORP,7726e3195c68a50f23cf6e0ad8c74e4b349aea7c113f5c0b34999e7492f1eef5,0000101830-15-000012,2015-05-26,https://www.sec.gov/Archives/edgar/data/101830/000010183015000012/s-20150331.xml,missing,False
S,0000101830,SPRINT CORP,5e8386e951d5e9b45490786fd7ff88a6be3fca0cc0742f9888ce31b2ba396d6e,0000101830-15-000019,2015-08-07,https://www.sec.gov/Archives/edgar/data/101830/000010183015000019/s-20150630.xml,missing,False
