symbol,cik,valid_from,valid_to,status,evidence_count,direct_ticker_proofs,sec_issuer_filings,first_filed,last_filed,name_match,official_name_chain_match,other_sec_tickers_same_cik,source_refs
A,0001090872,2016-01-01,2026-01-01,confirmed_by_multiple_evidence,2,2,39,2016-03-08,2025-12-22,True,True,[],"[{""accession"": ""0001090872-21-000004"", ""cik"": ""0001090872"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2021-03-02"", ""sha256"": ""4046830eaa186013493b18f5bace7f5f8e18852b7e3b1cc47f35189968b1a307"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1090872/000109087221000004/a-20210131_htm.xml""}, {""accession"": ""0001090872-25-000087"", ""cik"": ""0001090872"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2025-12-22"", ""sha256"": ""9f68be8afa25f44a827920e9cd7cf6bf9ae51e7f80de6d31891736b9d5c7c814"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031_htm.xml""}, {""accession"": ""0001090872-16-000056"", ""cik"": ""0001090872"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2016-03-08"", ""historical_name"": ""AGILENT TECHNOLOGIES INC"", ""sha256"": ""5c89a6badede1b47ab540913c7484795c7fc4c2a4672ac601b34b8c0afe5a698"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2016q1.zip""}, {""evidence_kind"": ""sec_official_name_chain_no_ticker"", ""sha256"": ""cd42db435d0d995a472934efd4dcfb03d063e2e200a9a20e9bac018b1f983925"", ""source_url"": ""https://data.sec.gov/submissions/CIK0001090872.json""}]"
AABA,0001011006,2016-01-01,2017-06-19,confirmed_historical_ticker,6,3,6,2016-02-29,2017-05-09,False,False,[],"[{""accession"": ""0001193125-16-483790"", ""cik"": ""0001011006"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2016-02-29"", ""sha256"": ""050f610eb7bd92ecc101472d4b12c9c6909e4aa4105a70fff2ae4e46cc9dabc1"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1011006/000119312516483790/yhoo-20151231.xml""}, {""accession"": ""0001193125-16-764376"", ""cik"": ""0001011006"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2016-11-09"", ""sha256"": ""b5070973b3741365cae3d96d189c4b50d5c26d1bab9b24286d885ef23106ffb6"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1011006/000119312516764376/yhoo-20160930.xml""}, {""accession"": ""0001193125-17-164173"", ""cik"": ""0001011006"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2017-05-09"", ""sha256"": ""b0b23bfc95930cfdbeafb373f521acdb1e9d06a5bb1e7e1d2edf4ef91572168f"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1011006/000119312517164173/yhoo-20170331.xml""}]"
AAL,0000006201,2016-01-01,2024-09-23,confirmed_by_multiple_evidence,3,3,35,2016-02-24,2024-07-25,True,True,[],"[{""accession"": ""0000006201-20-000066"", ""cik"": ""0000006201"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2020-04-30"", ""sha256"": ""374ab8e2df0bbc5c46dd7bad55e9e027c2edbafda7951abb50b2aa11b1c9ab66"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/6201/000000620120000066/q1202010-q033120_htm.xml""}, {""accession"": ""0000006201-24-000048"", ""cik"": ""0000006201"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2024-07-25"", ""sha256"": ""2379bf405f9eaaa41f0ff1af8dde18ed28604170a40a8965a86240e7b21b2ffe"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/6201/000000620124000048/aal-20240630_htm.xml""}, {""accession"": ""0001193125-16-474605"", ""cik"": ""0000006201"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2016-02-24"", ""sha256"": ""193a5078a0095f188d92915b76d1e465ae2a0d9de5013e58ebffebe7a2ec681e"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/6201/000119312516474605/aal-20151231.xml""}, {""evidence_kind"": ""sec_official_name_chain_no_ticker"", ""sha256"": ""d824dd45d009e4d3a6931c79e43387347a4d064e6f6b19b8dde4083133ae4081"", ""source_url"": ""https://data.sec.gov/submissions/CIK0000006201.json""}]"
AAP,0001158449,2016-01-01,2023-08-25,confirmed_by_multiple_evidence,2,2,31,2016-03-01,2023-08-23,True,True,[],"[{""accession"": ""0001158449-19-000199"", ""cik"": ""0001158449"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2019-11-12"", ""sha256"": ""cfe48f0f1fb9af0e36fb8f9292885e4a17d172852742a88c5241121b81f738a7"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1158449/000115844919000199/aap10q10519secreport_htm.xml""}, {""accession"": ""0001158449-23-000204"", ""cik"": ""0001158449"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2023-08-23"", ""sha256"": ""f8b7d56b5744411a94b581e0d3a8befa49d1276908a84eecd852474e671f10ba"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1158449/000115844923000204/aap-20230715_htm.xml""}, {""accession"": ""0001158449-16-000299"", ""cik"": ""0001158449"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2016-03-01"", ""historical_name"": ""ADVANCE AUTO PARTS INC"", ""sha256"": ""5c89a6badede1b47ab540913c7484795c7fc4c2a4672ac601b34b8c0afe5a698"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2016q1.zip""}, {""evidence_kind"": ""sec_official_name_chain_no_ticker"", ""sha256"": ""56606193122ce414afa27f352ad7eda6b0c9846fdab570fbf42d0612ffd0cded"", ""source_url"": ""https://data.sec.gov/submissions/CIK0001158449.json""}]"
AAPL,0000320193,2016-01-01,2026-01-01,confirmed_by_multiple_evidence,3,3,40,2016-01-27,2025-10-31,True,True,[],"[{""accession"": ""0000320193-21-000010"", ""cik"": ""0000320193"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2021-01-28"", ""sha256"": ""ac914744e7c2c860232c6f437e4e7d1b2159cc197bdf62e9a9324bbb87cf016e"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/aapl-20201226_htm.xml""}, {""accession"": ""0000320193-25-000079"", ""cik"": ""0000320193"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2025-10-31"", ""sha256"": ""e1076735f1c81bc96d5c1ff6e1a9d23515d6eacf52b405cb1f7da3e379ac533b"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927_htm.xml""}, {""accession"": ""0001193125-16-439878"", ""cik"": ""0000320193"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2016-01-27"", ""sha256"": ""aca977be49bb294c5636dd44d0ee493616e7f5cb6ab8ab8c298e4981aa502dcc"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/320193/000119312516439878/aapl-20151226.xml""}, {""evidence_kind"": ""sec_official_name_chain_no_ticker"", ""sha256"": ""37b3434b1e0d75048c817f456978b89b8b04b211cbcadfafe8d93fe5715d12df"", ""source_url"": ""https://data.sec.gov/submissions/CIK0000320193.json""}]"
ABBV,0001551152,2016-01-01,2026-01-01,confirmed_by_multiple_evidence,2,2,40,2016-02-19,2025-11-04,True,True,[],"[{""accession"": ""0001551152-21-000008"", ""cik"": ""0001551152"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2021-02-19"", ""sha256"": ""33328613fbf09a0b3730c0086786bb7623e0540089646982f8c204a6871787ec"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/abbv-20201231_htm.xml""}, {""accession"": ""0001551152-25-000049"", ""cik"": ""0001551152"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2025-11-04"", ""sha256"": ""4bc7a5a9fda9788b331ef0da7900d758abf3c1de8cf4e27ef081e23bbd9ea966"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1551152/000155115225000049/abbv-20250930_htm.xml""}, {""accession"": ""0001047469-16-010239"", ""cik"": ""0001551152"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2016-02-19"", ""historical_name"": ""ABBVIE INC."", ""sha256"": ""5c89a6badede1b47ab540913c7484795c7fc4c2a4672ac601b34b8c0afe5a698"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2016q1.zip""}, {""evidence_kind"": ""sec_official_name_chain_no_ticker"", ""sha256"": ""d0fb21327bd3e91a486e7c571d1d20b17f7f77773c258f63e91dd1e5bbee2efa"", ""source_url"": ""https://data.sec.gov/submissions/CIK0001551152.json""}]"
ABC,0001140859,2016-01-01,2023-08-30,confirmed_by_multiple_evidence,4,4,31,2016-02-04,2023-08-02,True,True,[],"[{""accession"": ""0001104659-16-093922"", ""cik"": ""0001140859"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2016-02-04"", ""sha256"": ""9881393ef5613420533c09e615f11dc09bcea25a17a97b8a14e3ceaf81e28671"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1140859/000110465916093922/abc-20151231.xml""}, {""accession"": ""0001140859-19-000040"", ""cik"": ""0001140859"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2019-11-19"", ""sha256"": ""2816b10acaee44d5bea175d9b029d1c0ba642b0d61cf7a8894b4bda7b2508082"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1140859/000114085919000040/a10-kx9302019_htm.xml""}, {""accession"": ""0001140859-21-000005"", ""cik"": ""0001140859"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2021-02-04"", ""sha256"": ""1dc04eb7894fc934c10c8bfebc6aa42b18f29ab81b42dde34d9691bccdf0c02d"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1140859/000114085921000005/abc-20201231_htm.xml""}, {""accession"": ""0001140859-23-000116"", ""cik"": ""0001140859"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2023-08-02"", ""sha256"": ""00008ef8041b0a707eff1ea815987f7fbbbbf0d49b0e078493c8613712d18b35"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1140859/000114085923000116/abc-20230630_htm.xml""}, {""evidence_kind"": ""sec_official_name_chain_no_ticker"", ""sha256"": ""23755cf20249de70d8102beed0251ef80f17b9162a2a44347c2a0172c4084cbe"", ""source_url"": ""https://data.sec.gov/submissions/CIK0001140859.json""}]"
ABMD,0000815094,2018-05-31,2022-12-22,confirmed_by_multiple_evidence,3,3,18,2018-08-02,2022-11-03,True,True,[],"[{""accession"": ""0000950170-22-021880"", ""cik"": ""0000815094"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2022-11-03"", ""sha256"": ""c806957f504945f1bae1d179fed1c6615fa73a0fa1b21b34e86085ddf51bcfdb"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/815094/000095017022021880/abmd-20220930_htm.xml""}, {""accession"": ""0001564590-18-018814"", ""cik"": ""0000815094"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2018-08-02"", ""sha256"": ""95344975eeb7f01853f3659795d6c238ba5866650adb52ce3c1ee86a5dfd7220"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/815094/000156459018018814/abmd-20180630.xml""}, {""accession"": ""0001564590-20-051944"", ""cik"": ""0000815094"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2020-11-06"", ""sha256"": ""5174fede9f7eebdf128dff724449b55052a815e5f1651b0d7c6abf94e7358537"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/815094/000156459020051944/abmd-10q_20200930_htm.xml""}, {""evidence_kind"": ""sec_official_name_chain_no_ticker"", ""sha256"": ""ee1e0a06f4479f6f9bce9531a403ff070e0f58e07d464ff0b37cebbe3afa1dd7"", ""source_url"": ""https://data.sec.gov/submissions/CIK0000815094.json""}]"
ABNB,0001559720,2023-09-18,2026-01-01,confirmed_by_multiple_evidence,3,3,9,2023-11-01,2025-11-06,True,True,[],"[{""accession"": ""0001559720-23-000020"", ""cik"": ""0001559720"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2023-11-01"", ""sha256"": ""c8c1259a158c546d85afc74f99ab5b6ef83296994924a003b89245f7d4b46deb"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1559720/000155972023000020/abnb-20230930_htm.xml""}, {""accession"": ""0001559720-24-000032"", ""cik"": ""0001559720"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2024-11-07"", ""sha256"": ""82283d68508fc801293db633f9d36b97730657ae0b4a96368c6e24b6d4786e97"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1559720/000155972024000032/abnb-20240930_htm.xml""}, {""accession"": ""0001559720-25-000030"", ""cik"": ""0001559720"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2025-11-06"", ""sha256"": ""1aa272097c58aa45d76ee22cf57cefc1f1724b8d629a6d08cec3d59c0ecf157d"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1559720/000155972025000030/abnb-20250930_htm.xml""}, {""evidence_kind"": ""sec_official_name_chain_no_ticker"", ""sha256"": ""98f62749bbbb2e6df67049cc6254a875259d97e3df58212a445c4236b580fd1e"", ""source_url"": ""https://data.sec.gov/submissions/CIK0001559720.json""}]"
ABT,0000001800,2016-01-01,2026-01-01,confirmed_by_multiple_evidence,2,2,40,2016-02-19,2025-10-29,True,True,[],"[{""accession"": ""0001104659-21-025751"", ""cik"": ""0000001800"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2021-02-19"", ""sha256"": ""13b24c8440b083c700cca73c58c51a4c80bd59fe46ba929edf2bf1d0ecf98afc"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/abt-20201231x10k_htm.xml""}, {""accession"": ""0001628280-25-047131"", ""cik"": ""0000001800"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2025-10-29"", ""sha256"": ""8d1997fc6715d915086bfb3bd61f15dccf3ff3052a6cc287343b7f7e83d16794"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1800/000162828025047131/abt-20250930_htm.xml""}, {""accession"": ""0001047469-16-010246"", ""cik"": ""0000001800"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2016-02-19"", ""historical_name"": ""ABBOTT LABORATORIES"", ""sha256"": ""5c89a6badede1b47ab540913c7484795c7fc4c2a4672ac601b34b8c0afe5a698"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2016q1.zip""}, {""evidence_kind"": ""sec_official_name_chain_no_ticker"", ""sha256"": ""94659a715c886e52b30257209a402c87fa16897d919df14a265265658f6fdd40"", ""source_url"": ""https://data.sec.gov/submissions/CIK0000001800.json""}]"
