symbol,cik,valid_from,valid_to,status,evidence_count,direct_ticker_proofs,sec_issuer_filings,first_filed,last_filed,name_match,official_name_chain_match,other_sec_tickers_same_cik,source_refs
A,0001090872,2010-01-01,2016-01-01,corroborated_candidate,23,0,23,2010-03-10,2015-12-21,True,False,[],"[{""accession"": ""0001104659-10-013535"", ""cik"": ""0001090872"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2010-03-10"", ""historical_name"": ""AGILENT TECHNOLOGIES INC"", ""sha256"": ""2a4db2340ab1662d5135d7e17be1a58352c5959017350f0ef2174135f9996125"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2010q1.zip""}, {""accession"": ""0001090872-13-000013"", ""cik"": ""0001090872"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2013-06-03"", ""historical_name"": ""AGILENT TECHNOLOGIES INC"", ""sha256"": ""7cc764386ea9cb01d62e1a9f4fac38dc9c741e96886a953ddaad2def4eb489c7"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2013q2.zip""}, {""accession"": ""0001104659-12-015665"", ""cik"": ""0001090872"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2012-03-05"", ""historical_name"": ""AGILENT TECHNOLOGIES INC"", ""sha256"": ""42ed1a5ecac978d4338bd51cd4bc15bf60cc821291eea492f8172fc4e803d5f6"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2012q1.zip""}]"
AAL,0000006201,2015-03-23,2016-01-01,confirmed_by_multiple_evidence,3,3,3,2015-04-24,2015-10-23,True,False,[],"[{""accession"": ""0001193125-15-145178"", ""cik"": ""0000006201"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2015-04-24"", ""sha256"": ""a3ff1926f7b4583534c09bd46e80bd5875ebf34330b3e8b786fffc4976d8ad9c"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/6201/000119312515145178/aal-20150331.xml""}, {""accession"": ""0001193125-15-261937"", ""cik"": ""0000006201"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2015-07-24"", ""sha256"": ""7bdd760821237be0cbc327f8ebb72aa9906047ed3ef1465515a6b9601a033931"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/6201/000119312515261937/aal-20150630.xml""}, {""accession"": ""0001193125-15-351246"", ""cik"": ""0000006201"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2015-10-23"", ""sha256"": ""4014d46fda5b268583a4da817c47c28a94f8a4c493ec162a104acbfa4d2d2274"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/6201/000119312515351246/aal-20150930.xml""}]"
AAP,0001158449,2015-07-09,2016-01-01,corroborated_candidate,2,0,2,2015-08-25,2015-11-17,True,False,[],"[{""accession"": ""0001158449-15-000167"", ""cik"": ""0001158449"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2015-08-25"", ""historical_name"": ""ADVANCE AUTO PARTS INC"", ""sha256"": ""9301fa2e346aa6b3a48a36cafab80d1aab5d7970e60bfd168d53ba852a4deca9"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2015q3.zip""}, {""accession"": ""0001158449-15-000190"", ""cik"": ""0001158449"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2015-11-17"", ""historical_name"": ""ADVANCE AUTO PARTS INC"", ""sha256"": ""1723b41ef2a1d3ea6595f6052ef229a80e03cd183391ca9e297a894f9e589d83"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2015q4.zip""}]"
AAPL,0000320193,2010-01-01,2016-01-01,confirmed_by_multiple_evidence,3,3,24,2010-01-25,2015-10-28,True,False,[],"[{""accession"": ""0001193125-10-012085"", ""cik"": ""0000320193"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2010-01-25"", ""sha256"": ""4b60627130a74776fad85c8ae1c3888ba6e1f1e3ac70e8fd5d97fb67ff7cc420"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/320193/000119312510012085/aapl-20091226.xml""}, {""accession"": ""0001193125-13-022339"", ""cik"": ""0000320193"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2013-01-24"", ""sha256"": ""6380fda9358c917587f5496cf0d19964f673b6d48712dead5fe37f27d345b6ef"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/320193/000119312513022339/aapl-20121229.xml""}, {""accession"": ""0001193125-15-356351"", ""cik"": ""0000320193"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2015-10-28"", ""sha256"": ""7f6970330bd6577819580622a0f80fba17f1d24ae5c27d0437d6953c3f2ac5b3"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/aapl-20150926.xml""}, {""accession"": ""0001193125-13-168288"", ""cik"": ""0000320193"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2013-04-24"", ""historical_name"": ""APPLE INC"", ""sha256"": ""7cc764386ea9cb01d62e1a9f4fac38dc9c741e96886a953ddaad2def4eb489c7"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2013q2.zip""}, {""accession"": ""0001193125-12-023398"", ""cik"": ""0000320193"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2012-01-25"", ""historical_name"": ""APPLE INC"", ""sha256"": ""42ed1a5ecac978d4338bd51cd4bc15bf60cc821291eea492f8172fc4e803d5f6"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2012q1.zip""}]"
ABBV,0001551152,2013-01-02,2016-01-01,corroborated_candidate,11,0,11,2013-05-08,2015-11-06,True,False,[],"[{""accession"": ""0001104659-13-038917"", ""cik"": ""0001551152"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2013-05-08"", ""historical_name"": ""ABBVIE INC."", ""sha256"": ""7cc764386ea9cb01d62e1a9f4fac38dc9c741e96886a953ddaad2def4eb489c7"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2013q2.zip""}, {""accession"": ""0001104659-14-058340"", ""cik"": ""0001551152"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2014-08-07"", ""historical_name"": ""ABBVIE INC."", ""sha256"": ""4d10510a2f17a6da8012d83f66bed7fbb434bca2529f7b2a92043c522d2c52b1"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2014q3.zip""}, {""accession"": ""0001104659-15-076607"", ""cik"": ""0001551152"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2015-11-06"", ""historical_name"": ""ABBVIE INC."", ""sha256"": ""1723b41ef2a1d3ea6595f6052ef229a80e03cd183391ca9e297a894f9e589d83"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2015q4.zip""}]"
ABC,0001140859,2010-01-01,2016-01-01,corroborated_candidate,24,1,24,2010-02-05,2015-11-24,True,False,[],"[{""accession"": ""0001047469-15-008939"", ""cik"": ""0001140859"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2015-11-24"", ""sha256"": ""b56f882bf2c8e824b6dd90460768cf62f4976b7923b8e1d036dfbfb1443c94d7"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1140859/000104746915008939/abc-20150930.xml""}, {""accession"": ""0000950123-10-009185"", ""cik"": ""0001140859"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2010-02-05"", ""historical_name"": ""AMERISOURCEBERGEN CORP"", ""sha256"": ""2a4db2340ab1662d5135d7e17be1a58352c5959017350f0ef2174135f9996125"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2010q1.zip""}, {""accession"": ""0001104659-13-039347"", ""cik"": ""0001140859"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2013-05-09"", ""historical_name"": ""AMERISOURCEBERGEN CORP"", ""sha256"": ""7cc764386ea9cb01d62e1a9f4fac38dc9c741e96886a953ddaad2def4eb489c7"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2013q2.zip""}, {""accession"": ""0001193125-12-042810"", ""cik"": ""0001140859"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2012-02-07"", ""historical_name"": ""AMERISOURCEBERGEN CORP"", ""sha256"": ""42ed1a5ecac978d4338bd51cd4bc15bf60cc821291eea492f8172fc4e803d5f6"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2012q1.zip""}]"
ABT,0000001800,2010-01-01,2016-01-01,corroborated_candidate,24,0,24,2010-02-19,2015-11-05,True,False,[],"[{""accession"": ""0001047469-10-001018"", ""cik"": ""0000001800"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2010-02-19"", ""historical_name"": ""ABBOTT LABORATORIES"", ""sha256"": ""2a4db2340ab1662d5135d7e17be1a58352c5959017350f0ef2174135f9996125"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2010q1.zip""}, {""accession"": ""0001104659-13-038811"", ""cik"": ""0000001800"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2013-05-08"", ""historical_name"": ""ABBOTT LABORATORIES"", ""sha256"": ""7cc764386ea9cb01d62e1a9f4fac38dc9c741e96886a953ddaad2def4eb489c7"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2013q2.zip""}, {""accession"": ""0001047469-12-001216"", ""cik"": ""0000001800"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2012-02-21"", ""historical_name"": ""ABBOTT LABORATORIES"", ""sha256"": ""42ed1a5ecac978d4338bd51cd4bc15bf60cc821291eea492f8172fc4e803d5f6"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2012q1.zip""}]"
ACN,0001467373,2011-07-06,2016-01-01,confirmed_by_multiple_evidence,3,3,18,2011-10-21,2015-12-17,True,False,[],"[{""accession"": ""0001193125-11-277309"", ""cik"": ""0001467373"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2011-10-21"", ""sha256"": ""2455cf2463e9c60ccd689bfee9431b16222eb3cd2a34e0bac4a131de68ad0cdb"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1467373/000119312511277309/acn-20110831.xml""}, {""accession"": ""0001467373-13-000578"", ""cik"": ""0001467373"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2013-12-19"", ""sha256"": ""c62786c4180dfb660ed43f329324ed1b8d753caee02959a4d24b547bd7266dd4"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1467373/000146737313000578/acn-20131130.xml""}, {""accession"": ""0001467373-15-000591"", ""cik"": ""0001467373"", ""evidence_kind"": ""sec_dei_ticker"", ""filed_date"": ""2015-12-17"", ""sha256"": ""5f5082db4199138ab97379e93ee3ed9157e81dc7ab7a71627aa2ae18c2a7eb2b"", ""source_url"": ""https://www.sec.gov/Archives/edgar/data/1467373/000146737315000591/acn-20151130.xml""}, {""accession"": ""0001467373-14-000163"", ""cik"": ""0001467373"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2014-03-27"", ""historical_name"": ""ACCENTURE PLC"", ""sha256"": ""bf55481c6e0088fb45e8efeb2d8de6912a9c3533da918376a24ca5f84144680f"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2014q1.zip""}, {""accession"": ""0001193125-12-129729"", ""cik"": ""0001467373"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2012-03-23"", ""historical_name"": ""ACCENTURE PLC"", ""sha256"": ""42ed1a5ecac978d4338bd51cd4bc15bf60cc821291eea492f8172fc4e803d5f6"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2012q1.zip""}]"
ACS,0000002135,2010-01-01,2010-02-08,unresolved,0,0,0,,,False,False,[],[]
ADBE,0000796343,2010-01-01,2016-01-01,corroborated_candidate,24,0,24,2010-01-22,2015-09-23,True,False,[],"[{""accession"": ""0000796343-10-000003"", ""cik"": ""0000796343"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2010-01-22"", ""historical_name"": ""ADOBE SYSTEMS INC"", ""sha256"": ""2a4db2340ab1662d5135d7e17be1a58352c5959017350f0ef2174135f9996125"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2010q1.zip""}, {""accession"": ""0000796343-13-000044"", ""cik"": ""0000796343"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2013-06-28"", ""historical_name"": ""ADOBE SYSTEMS INC"", ""sha256"": ""7cc764386ea9cb01d62e1a9f4fac38dc9c741e96886a953ddaad2def4eb489c7"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2013q2.zip""}, {""accession"": ""0000796343-12-000003"", ""cik"": ""0000796343"", ""evidence_kind"": ""sec_bulk_issuer_name_no_ticker"", ""filed_date"": ""2012-01-26"", ""historical_name"": ""ADOBE SYSTEMS INC"", ""sha256"": ""42ed1a5ecac978d4338bd51cd4bc15bf60cc821291eea492f8172fc4e803d5f6"", ""source_url"": ""https://www.sec.gov/files/dera/data/financial-statement-data-sets/2012q1.zip""}]"
