year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_symbol,finsaber_symbol,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,sec_first_periodic,sec_delisting,listing_check,yahoo_level,finsaber_level,finsaber_adjustment,yahoo_adjustment,level_ratio,selected_source,source_symbol,coverage_status,history,price_attribution,price_source_status,forward_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,public_float_usd,membership_exit_next_365d
2010,2010-12-31,A,0001090872,cik:0001090872,corroborated_candidate,253,A,A,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,6.012178659627887e-06,False,2000-01-25,,,passed,passed,not_assessed,not_assessed,"[0.7538, 0.7841]",yahoo,A,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2000-06-05,2016-01-01,source_boundary,3825,9513000000.0,False
2010,2010-12-31,AABA,0001011006,cik:0001011006,confirmed_historical_ticker,253,AABA,AABA,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1996-08-14,2019-10-07,,missing,passed,no_dividends_consistent,not_assessed,"[0.9067, 0.7606]",finsaber,AABA,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,1999-12-08,2016-01-01,source_boundary,7373,16919544171.0,False
2010,2010-12-31,AAPL,0000320193,cik:0000320193,confirmed_by_multiple_evidence,253,AAPL,AAPL,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,1.861575164956109e-05,False,1994-01-26,,,passed,passed,not_assessed,not_assessed,"[0.9927, 0.9933]",yahoo,AAPL,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,3571,208565000000.0,False
2010,2010-12-31,ABC,0001140859,cik:0001140859,corroborated_candidate,253,ABC,ABC,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,2001-12-28,,,missing,passed,dividends_reconciled,not_assessed,"[0.8427, 0.8126, 0.8677, 0.9767]",finsaber,ABC,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,2001-08-30,2016-01-01,source_boundary,5122,6885364872.0,False
2010,2010-12-31,ABT,0000001800,cik:0000001800,corroborated_candidate,253,ABT,ABT,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,4.876954328483232e-06,False,2007-02-23,,,passed,passed,not_assessed,not_assessed,"[0.9674, 0.9683]",yahoo,ABT,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,2834,69683328714.0,False
2010,2010-12-31,ADBE,0000796343,cik:0000796343,corroborated_candidate,253,ADBE,ADBE,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,0.00015517425876199865,False,1995-02-17,,,passed,passed,not_assessed,not_assessed,"[0.8156, 0.9163]",yahoo,ADBE,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1997-05-06,2016-01-01,source_boundary,7372,13532884642.0,False
2010,2010-12-31,ADI,0000006281,cik:0000006281,corroborated_candidate,253,ADI,ADI,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,3.862835098152885e-06,False,1994-03-11,,,passed,passed,not_assessed,not_assessed,"[0.8201, 0.7692]",yahoo,ADI,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1999-10-12,2016-01-01,source_boundary,3674,7314000000.0,False
2010,2010-12-31,ADM,0000007084,cik:0000007084,corroborated_candidate,253,ADM,ADM,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,7.881515670817741e-05,False,1994-02-09,,,passed,passed,not_assessed,not_assessed,"[0.9791, 0.9755, 0.9777]",yahoo,ADM,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,2070,18700000000.0,False
2010,2010-12-31,ADP,0000008670,cik:0000008670,corroborated_candidate,253,ADP,ADP,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,4.161193525087374e-06,False,2005-02-08,,,passed,passed,not_assessed,not_assessed,"[1.0846, 0.8867]",yahoo,ADP,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,7374,21535777370.0,False
2010,2010-12-31,ADSK,0000769397,cik:0000769397,confirmed_by_multiple_evidence,253,ADSK,ADSK,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,0.00014635468943785318,False,1994-06-14,,,passed,passed,not_assessed,not_assessed,"[0.9979, 0.9909]",yahoo,ADSK,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,7372,6700000000.0,False
