year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,selected_source,coverage_status,price_attribution,price_source_status,terminal_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,membership_exit_next_365d
2010,2010-03-31,A,0001090872,cik:0001090872,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,1.1458737820762012e-05,False,yahoo,complete,accredited_entity_interval,tier_a,none,2000-06-05,2016-01-01,source_boundary,3825,False
2010,2010-03-31,AABA,,,,253,0,,,253,2009-03-31,2010-03-31,0,insufficient_overlap,,False,,identity_unresolved,legacy_symbol_unattributed,excluded,none,1999-12-08,2016-01-01,source_boundary,,False
2010,2010-03-31,AAPL,0000320193,cik:0000320193,confirmed_by_multiple_evidence,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,3.318319070130473e-05,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,3571,False
2010,2010-03-31,ABC,0001140859,cik:0001140859,corroborated_candidate,253,0,,,253,2009-03-31,2010-03-31,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,2001-08-30,2016-01-01,source_boundary,5122,False
2010,2010-03-31,ABT,0000001800,cik:0000001800,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,6.10039015068509e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,2834,False
2010,2010-03-31,ADBE,0000796343,cik:0000796343,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,9.4940681154565e-08,False,yahoo,complete,accredited_entity_interval,tier_a,none,1997-05-06,2016-01-01,source_boundary,7372,False
2010,2010-03-31,ADI,0000006281,cik:0000006281,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,5.2260365338574505e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1999-10-12,2016-01-01,source_boundary,3674,False
2010,2010-03-31,ADM,0000007084,cik:0000007084,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,5.186662231261297e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,2070,False
2010,2010-03-31,ADP,0000008670,cik:0000008670,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,5.466836992453762e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,7374,False
2010,2010-03-31,ADSK,0000769397,cik:0000769397,confirmed_by_multiple_evidence,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,4.546836643329111e-05,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,7372,False
2010,2010-03-31,AEE,0001002910,cik:0001002910,confirmed_by_multiple_evidence,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,6.522586691961598e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,4931,False
2010,2010-03-31,AEP,0000004904,cik:0000004904,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,5.6257888102895254e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,4911,False
2010,2010-03-31,AES,0000874761,cik:0000874761,confirmed_by_multiple_evidence,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,1.5149249294830202e-05,False,yahoo,complete,accredited_entity_interval,tier_a,none,1998-10-02,2016-01-01,source_boundary,4991,False
2010,2010-03-31,AET,0001122304,cik:0001122304,corroborated_candidate,253,0,,,253,2009-03-31,2010-03-31,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,1996-01-02,2016-01-01,source_boundary,6324,False
2010,2010-03-31,AFL,0000004977,cik:0000004977,confirmed_by_multiple_evidence,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,7.311846129899325e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1999-05-28,2016-01-01,source_boundary,6321,False
2010,2010-03-31,AGN,,,,253,0,,,253,2009-03-31,2010-03-31,0,insufficient_overlap,,True,,ticker_recycled,legacy_symbol_unattributed,excluded,none,1996-01-02,2016-01-01,source_boundary,,False
2010,2010-03-31,AIG,0000005272,cik:0000005272,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,5.82297104755547e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,6331,False
2010,2010-03-31,AIV,0000922864,cik:0000922864,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,divergent_overlap,0.006571260533267333,False,yahoo,complete,accredited_entity_interval,tier_a,none,2003-03-14,2016-01-01,source_boundary,,False
2010,2010-03-31,AIZ,0001267238,cik:0001267238,confirmed_by_multiple_evidence,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,4.779455894265985e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,2007-04-10,2016-01-01,source_boundary,6321,False
2010,2010-03-31,AKAM,0001086222,cik:0001086222,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,9.371423880133458e-08,False,yahoo,complete,accredited_entity_interval,tier_a,none,2007-07-12,2016-01-01,source_boundary,7389,False
2010,2010-03-31,AKS,0000918160,cik:0000918160,corroborated_candidate,253,0,,,253,2009-03-31,2010-03-31,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,2008-07-01,2011-12-19,exit,3312,False
2010,2010-03-31,ALL,0000899051,cik:0000899051,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,4.624399646470106e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,6331,False
2010,2010-03-31,ALTR,0000768251,cik:0000768251,corroborated_candidate,253,0,,,0,,,0,insufficient_overlap,,False,,incomplete_prices,legacy_symbol_unattributed,excluded,none,2000-04-18,2015-12-28,exit,3674,False
2010,2010-03-31,AMAT,0000006951,cik:0000006951,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,0.0001638568318237391,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,3674,False
2010,2010-03-31,AMD,0000002488,cik:0000002488,confirmed_by_multiple_evidence,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,9.404258400236291e-08,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2013-09-23,exit,,False
2010,2010-03-31,AMGN,0000318154,cik:0000318154,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,2.4767518998358723e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,2836,False
2010,2010-03-31,AMP,0000820027,cik:0000820027,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,4.655424688577715e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,2005-10-03,2016-01-01,source_boundary,6282,False
2010,2010-03-31,AMT,0001053507,cik:0001053507,corroborated_candidate,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,3.4407794746238453e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,2007-11-19,2016-01-01,source_boundary,4899,False
2010,2010-03-31,AMZN,0001018724,cik:0001018724,confirmed_by_multiple_evidence,253,253,2009-03-31,2010-03-31,253,2009-03-31,2010-03-31,252,consistent_overlap,1.618806057365308e-05,False,yahoo,complete,accredited_entity_interval,tier_a,none,2005-11-21,2016-01-01,source_boundary,5961,False
