year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_symbol,finsaber_symbol,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,sec_first_periodic,sec_delisting,listing_check,yahoo_level,finsaber_level,finsaber_adjustment,yahoo_adjustment,tiingo_sessions,tiingo_first,tiingo_last,tiingo_level,tiingo_adjustment,wiki_sessions,wiki_first,wiki_last,wiki_level,wiki_adjustment,level_ratio,selected_source,source_symbol,coverage_status,history,price_attribution,price_source_status,forward_status,holding_covered_until,holding_coverage,identity_valid_from,identity_valid_to,membership_end_reason,sic,public_float_usd,membership_exit_next_365d
2016,2016-03-31,A,0001090872,cik:0001090872,confirmed_by_multiple_evidence,253,A,A,253,2015-03-31,2016-03-31,253.0,2015-03-31,2016-03-31,252.0,consistent_overlap,2.833083506226243e-06,False,2000-01-25,,,passed,passed,not_assessed,not_assessed,0.0,,,,,0.0,,,,,[0.6965],yahoo,A,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2016-07-07,covered,2000-06-05,2026-08-19,source_boundary,3826,9600000000.0,False
2016,2016-03-31,AABA,0001011006,cik:0001011006,confirmed_historical_ticker,253,AABA,AABA,0,,,253.0,2015-03-31,2016-03-31,0.0,insufficient_overlap,,False,1996-08-14,2019-10-07,,missing,passed,no_dividends_consistent,not_assessed,0.0,,,,,0.0,,,,,[0.9212],finsaber,AABA,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,2016-07-07,covered,1999-12-08,2017-06-19,exit,7373,34070929391.0,False
2016,2016-03-31,AAL,0000006201,cik:0000006201,confirmed_by_multiple_evidence,253,AAL,AAL,253,2015-03-31,2016-03-31,253.0,2015-03-31,2016-03-31,252.0,consistent_overlap,2.3220441069637944e-06,False,2005-02-25,,,passed,passed,not_assessed,not_assessed,0.0,,,,,0.0,,,,,[1.0062],yahoo,AAL,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2016-07-07,covered,2015-03-23,2024-09-23,exit,4512,27000000000.0,False
2016,2016-03-31,AAP,0001158449,cik:0001158449,confirmed_by_multiple_evidence,253,AAP,AAP,253,2015-03-31,2016-03-31,253.0,2015-03-31,2016-03-31,252.0,consistent_overlap,9.145142452959837e-07,False,2002-03-28,,,passed,passed,not_assessed,not_assessed,0.0,,,,,0.0,,,,,[0.9964],yahoo,AAP,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2016-07-07,covered,2015-07-09,2023-08-25,exit,5531,12380794585.0,False
2016,2016-03-31,AAPL,0000320193,cik:0000320193,confirmed_by_multiple_evidence,253,AAPL,AAPL,253,2015-03-31,2016-03-31,253.0,2015-03-31,2016-03-31,252.0,consistent_overlap,3.4980861348354886e-06,False,1994-01-26,,,passed,passed,not_assessed,not_assessed,0.0,,,,,0.0,,,,,[1.0],yahoo,AAPL,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2016-07-07,covered,1996-01-02,2026-08-19,source_boundary,3571,578807000000.0,False
2016,2016-03-31,ABBV,0001551152,cik:0001551152,confirmed_by_multiple_evidence,253,ABBV,ABBV,253,2015-03-31,2016-03-31,253.0,2015-03-31,2016-03-31,252.0,consistent_overlap,2.519159151945783e-06,False,2013-03-15,,,passed,passed,not_assessed,not_assessed,0.0,,,,,0.0,,,,,[0.989],yahoo,ABBV,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2016-07-07,covered,2013-01-02,2026-08-19,source_boundary,2834,109991857664.0,False
2016,2016-03-31,ABC,0001140859,cik:0001140859,confirmed_by_multiple_evidence,253,COR,ABC,253,2015-03-31,2016-03-31,253.0,2015-03-31,2016-03-31,252.0,consistent_overlap,1.2253783037763367e-06,False,2001-12-28,,,passed,passed,not_assessed,not_assessed,0.0,,,,,253.0,2015-03-31,2016-03-31,,,"[0.816, 0.7289]",yahoo,COR,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2016-07-07,covered,2001-08-30,2023-08-30,exit,5122,13618229743.0,False
2016,2016-03-31,ABT,0000001800,cik:0000001800,confirmed_by_multiple_evidence,253,ABT,ABT,253,2015-03-31,2016-03-31,253.0,2015-03-31,2016-03-31,252.0,consistent_overlap,2.349596775661489e-06,False,2007-02-23,,,passed,passed,not_assessed,not_assessed,0.0,,,,,0.0,,,,,[0.9753],yahoo,ABT,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2016-07-07,covered,1996-01-02,2026-08-19,source_boundary,2834,71342394796.0,False
2016,2016-03-31,ACN,0001467373,cik:0001467373,confirmed_by_multiple_evidence,253,ACN,ACN,253,2015-03-31,2016-03-31,253.0,2015-03-31,2016-03-31,252.0,consistent_overlap,1.336693288260804e-06,False,2009-10-19,,,passed,passed,not_assessed,not_assessed,0.0,,,,,0.0,,,,,[0.9957],yahoo,ACN,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2016-07-07,covered,2011-07-06,2026-08-19,source_boundary,7389,62548022041.0,False
2016,2016-03-31,ADBE,0000796343,cik:0000796343,confirmed_by_multiple_evidence,253,ADBE,ADBE,253,2015-03-31,2016-03-31,253.0,2015-03-31,2016-03-31,252.0,consistent_overlap,6.306099089385954e-05,False,1995-02-17,,,passed,passed,not_assessed,not_assessed,0.0,,,,,0.0,,,,,[0.8121],yahoo,ADBE,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2016-07-07,covered,1997-05-06,2026-08-19,source_boundary,7372,31964797377.0,False
