year,as_of,symbol,cik,identity_tier,identity_status,revenue,revenue_fresh,operating_income,operating_income_fresh,net_income,net_income_fresh,equity,equity_fresh,cash,cash_fresh,long_term_debt,long_term_debt_fresh,operating_cash_flow,operating_cash_flow_fresh,capex,capex_fresh,shares,shares_fresh,depreciation,depreciation_fresh,roic_inputs,fcf_inputs,missing_concepts
2010,2010-12-31,A,0001090872,corroborated_candidate,resolved,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,net_income
2010,2010-12-31,AABA,,,unresolved,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,revenue;operating_income;net_income;equity;cash;long_term_debt;operating_cash_flow;capex;shares;depreciation
2010,2010-12-31,AAPL,0000320193,confirmed_by_multiple_evidence,resolved,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,long_term_debt
2010,2010-12-31,ABC,0001140859,corroborated_candidate,resolved,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,depreciation
2010,2010-12-31,ABT,0000001800,corroborated_candidate,resolved,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,net_income;depreciation
2010,2010-12-31,ADBE,0000796343,corroborated_candidate,resolved,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2010,2010-12-31,ADI,0000006281,corroborated_candidate,resolved,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,True,net_income;long_term_debt;depreciation
2010,2010-12-31,ADM,0000007084,corroborated_candidate,resolved,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,operating_income
2010,2010-12-31,ADP,0000008670,corroborated_candidate,resolved,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,operating_income;capex
2010,2010-12-31,ADSK,0000769397,confirmed_by_multiple_evidence,resolved,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,long_term_debt
2010,2010-12-31,AEE,0001002910,confirmed_by_multiple_evidence,resolved,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2010,2010-12-31,AEP,0000004904,corroborated_candidate,resolved,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2010,2010-12-31,AES,0000874761,confirmed_by_multiple_evidence,resolved,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,revenue;operating_income;long_term_debt
2010,2010-12-31,AET,0001122304,corroborated_candidate,resolved,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,operating_income
2010,2010-12-31,AFL,0000004977,confirmed_by_multiple_evidence,resolved,True,True,False,False,False,False,True,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,operating_income;net_income;long_term_debt;capex;depreciation
2010,2010-12-31,AGN,,,ambiguous,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,revenue;operating_income;net_income;equity;cash;long_term_debt;operating_cash_flow;capex;shares;depreciation
2010,2010-12-31,AIG,0000005272,corroborated_candidate,resolved,True,True,False,False,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,False,operating_income;cash;long_term_debt;capex
2010,2010-12-31,AIV,0000922864,corroborated_candidate,resolved,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,long_term_debt;capex
2010,2010-12-31,AIZ,0001267238,confirmed_by_multiple_evidence,resolved,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,operating_income;long_term_debt
2010,2010-12-31,AKAM,0001086222,corroborated_candidate,resolved,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,long_term_debt
2010,2010-12-31,AKS,0000918160,corroborated_candidate,resolved,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,revenue;depreciation
