date,strategy,spy
2016-01-04,99930.02498750627,99949.02548725638
2016-01-05,100157.8120470657,100118.09268915052
2016-01-06,98820.22997715822,98855.17769941207
2016-01-07,96999.1609530507,96483.4853168928
2016-01-08,95728.64211793349,95424.45527558218
2016-01-11,95996.8388328355,95518.9104494301
2016-01-12,96758.20015302466,96289.60743337724
2016-01-13,94264.59161380364,93888.07383930312
2016-01-14,95350.4013951559,95429.42281140192
2016-01-15,93520.4107567306,93380.88123277984
2016-01-19,93909.03722619936,93505.21361481896
2016-01-20,92900.4961580078,92306.93958485089
2016-01-21,92560.3513720316,92824.02226721818
2016-01-22,94614.6721941624,94728.37031968126
2016-01-25,93332.4205113135,93296.3881280487
2016-01-26,94777.39176182212,94569.23818942664
2016-01-27,93889.07090867076,93540.01336303446
2016-01-28,94722.02777054298,94027.29083048333
2016-01-29,97477.07019888156,96319.38565081844
2016-02-01,97674.8701148124,96284.63989755748
2016-02-02,96044.73405494406,94549.34104867037
2016-02-03,96089.33503900724,95116.15308418967
2016-02-04,96390.8418456574,95265.32314532757
2016-02-05,94487.49187455316,93450.49872752902
2016-02-08,93109.00760258026,92192.5872702467
2016-02-09,94044.20883505436,92197.54580690736
2016-02-10,94411.79921352753,92118.00223967778
2016-02-11,93382.58624946016,90919.74620802788
2016-02-12,95197.28622797636,92794.21705229972
2016-02-16,96603.9102159828,94360.41270265637
2016-02-17,98039.3346916324,95901.74367643696
2016-02-18,98483.54094676956,95509.00237526788
2016-02-19,98981.48807697922,95464.23155877652
2016-02-22,99999.6485427644,96846.4573997798
2016-02-23,99025.19330854126,95623.3276923948
2016-02-24,99640.17342691802,96060.86680753253
2016-02-25,100501.72082397138,97224.3140918078
2016-02-26,99728.52419788932,97000.61299505558
2016-02-29,99227.65500169144,96239.86908106612
2016-03-01,101169.67874925878,98502.15868648276
2016-03-02,101193.18870933032,98944.7013340766
2016-03-03,101832.66149731184,99332.5380935396
2016-03-04,102168.80064992725,99655.70689575496
2016-03-07,102032.14907520109,99735.25946214364
2016-03-08,101511.75344422276,98646.3342143236
2016-03-09,101910.36874560548,99133.62968009064
2016-03-10,102002.72806634032,99213.1912456384
2016-03-11,103612.90537618194,100814.17764505144
2016-03-14,103371.83956772734,100684.92272298802
2016-03-15,103292.81234148696,100520.84105523182
2016-03-16,104051.22102770252,101102.57369652858
2016-03-17,104947.41723400644,101743.96176345772
2016-03-18,105357.23810799318,102143.7854028336
2016-03-21,105405.41256642532,102288.7078608792
2016-03-22,105248.49952128882,102233.74099713464
2016-03-23,104724.7898672402,101559.0830390359
2016-03-24,104610.72781713498,101514.0872435672
2016-03-28,104759.312127465,101574.0486406088
2016-03-29,105818.47767698886,102513.6328432682
2016-03-30,106034.67212391116,102963.42881309158
