date,strategy,spy
2016-01-04,99930.02498750627,99949.02548725638
2016-01-05,100157.8120470657,100118.09268915051
2016-01-06,98820.22997715822,98855.17769941207
2016-01-07,96999.1609530507,96483.48531689281
2016-01-08,95728.64211793347,95424.45527558218
2016-01-11,95996.8388328355,95518.9104494301
2016-01-12,96758.20015302466,96289.60743337723
2016-01-13,94264.59161380364,93888.07383930312
2016-01-14,95350.4013951559,95429.42281140192
2016-01-15,93520.4107567306,93380.88123277984
2016-01-19,93909.03722619936,93505.21361481897
2016-01-20,92900.49615800781,92306.93958485089
2016-01-21,92560.35137203161,92824.02226721818
2016-01-22,94614.6721941624,94728.37031968126
2016-01-25,93332.4205113135,93296.3881280487
2016-01-26,94777.39176182213,94569.23818942663
2016-01-27,93889.07090867076,93540.01336303446
2016-01-28,94722.02777054298,94027.29083048331
2016-01-29,97477.07019888157,96319.38565081843
2016-02-01,97674.8701148124,96284.63989755748
2016-02-02,96044.73405494406,94549.34104867037
2016-02-03,96089.33503900723,95116.15308418969
2016-02-04,96390.84184565741,95265.32314532755
2016-02-05,94487.49187455315,93450.49872752902
2016-02-08,93109.00760258026,92192.5872702467
2016-02-09,94044.20883505436,92197.54580690736
2016-02-10,94411.79921352751,92118.00223967778
2016-02-11,93382.58624946015,90919.74620802788
2016-02-12,95197.28622797636,92794.21705229972
2016-02-16,96603.9102159828,94360.41270265635
2016-02-17,98039.33469163241,95901.74367643696
2016-02-18,98483.54094676956,95509.00237526788
2016-02-19,98981.48807697922,95464.23155877652
2016-02-22,99999.64854276441,96846.45739977979
2016-02-23,99025.19330854126,95623.32769239479
2016-02-24,99640.17342691802,96060.86680753251
2016-02-25,100501.72082397138,97224.31409180781
2016-02-26,99728.52419788933,97000.61299505558
2016-02-29,99227.65500169144,96239.86908106612
2016-03-01,101169.67874925878,98502.15868648277
2016-03-02,101193.18870933031,98944.70133407661
2016-03-03,101832.66149731184,99332.5380935396
2016-03-04,102168.80064992723,99655.70689575496
2016-03-07,102032.14907520109,99735.25946214364
2016-03-08,101511.75344422276,98646.33421432361
2016-03-09,101910.36874560549,99133.62968009063
2016-03-10,102002.72806634032,99213.1912456384
2016-03-11,103612.90537618194,100814.17764505143
2016-03-14,103371.83956772734,100684.92272298802
2016-03-15,103292.81234148696,100520.84105523182
2016-03-16,104051.22102770253,101102.57369652858
2016-03-17,104947.41723400644,101743.96176345773
2016-03-18,105357.23810799318,102143.78540283359
2016-03-21,105405.41256642532,102288.7078608792
2016-03-22,105248.49952128882,102233.74099713464
2016-03-23,104724.7898672402,101559.0830390359
2016-03-24,104610.72781713498,101514.08724356719
2016-03-28,104759.312127465,101574.0486406088
2016-03-29,105818.47767698886,102513.63284326819
2016-03-30,106034.67212391116,102963.42881309158
2016-03-31,105924.59336197036,102713.55816169475
2016-04-01,106649.52306321147,103413.2067845968
2016-04-04,105473.9869064269,103078.35707387776
2016-04-05,104586.86004245548,102048.83527523551
2016-04-06,105225.64788031897,103163.35413151815
2016-04-07,104021.681545927,101928.88548367504
2016-04-08,104031.25294027259,102203.75579903428
2016-04-11,103639.42438781436,101963.89221254969
2016-04-12,104351.43159018338,102913.44748348494
2016-04-13,105333.8652952093,103952.98534619852
2016-04-14,105100.54115400805,103957.97987949556
2016-04-15,105153.89813158034,103843.04261955028
2016-04-18,105758.92697915985,104572.69443887087
2016-04-19,105900.89942169837,104902.53161797469
2016-04-20,105762.55042464603,105002.48527802888
2016-04-21,104988.60981568028,104437.77904573748
2016-04-22,105202.97745341869,104437.77904573748
2016-04-25,105276.78687152018,104257.82286133993
2016-04-26,105658.21212955158,104412.75238429778
2016-04-27,106576.03839568692,104627.68830009272
2016-04-28,104995.44734938358,103678.11503083927
2016-04-29,104363.43508082298,103118.35833604944
2016-05-02,105231.66790004181,103937.98374798926
2016-05-03,104529.52240518456,103033.41527336361
2016-05-04,103733.63219625372,102458.63898204634
2016-05-05,103701.12309487707,102438.63385138095
2016-05-06,104394.66321107864,102813.51182174894
2016-05-09,104463.62256457312,102898.44588527568
2016-05-10,105697.21807197596,104177.84733447384
2016-05-11,104182.93211959265,103203.31039789437
2016-05-12,104492.10601039517,103233.27759767653
2016-05-13,104479.99519478144,102333.68565802973
2016-05-16,105317.91934648718,103343.25632096114
2016-05-17,104447.23769859805,102378.68145349843
2016-05-18,104800.98735471927,102408.6576524397
2016-05-19,104415.74583577344,102053.80281105527
2016-05-20,105451.08396651139,102698.52056684911
2016-05-23,104755.78700619185,102558.64663705508
2016-05-24,106374.67669994166,103887.95742258715
2016-05-25,106560.3518176184,104592.68157121807
2016-05-26,106466.28370325165,104622.67576847751
2016-05-27,107190.78051530673,105072.50773493727
2016-05-31,107073.27793304106,104872.57341735162
2016-06-01,107669.46416092421,105087.47333651017
2016-06-02,108072.78321861428,105407.32144901995
2016-06-03,107706.93505559069,105092.4678698072
2016-06-06,107998.87770513678,105627.2338997937
2016-06-07,108380.44074982137,105792.12549186834
2016-06-08,109122.25880480724,106136.98226749961
2016-06-09,109172.78482439106,105992.05081029491
2016-06-10,108051.69130922819,104987.51067729689
2016-06-13,107212.81736116923,104177.84733447384
2016-06-14,107112.4541749037,103972.92748275025
2016-06-15,106980.5961738901,103828.03202218191
2016-06-16,107333.41133034801,104137.90906641583
2016-06-17,106684.68723866012,103750.07230695283
2016-06-20,107716.80286504552,104418.21487386769
2016-06-21,107977.51526773244,104714.63817525645
2016-06-22,108159.20774366075,104543.82513649814
2016-06-23,109721.58944574668,105905.1999258812
2016-06-24,105847.74308272295,102102.25428361597
2016-06-27,104159.50223968424,100273.63415492674
2016-06-28,106106.44799610612,102082.16816051873
2016-06-29,107872.3036510865,103820.40073527042
2016-06-30,109612.77026013407,105237.06635812543
2016-07-01,109889.52903782345,105458.11270294501
2016-07-05,113293.43921374119,104699.56458377444
2016-07-06,113282.18780445051,105327.48990869935
2016-07-07,113106.95770170147,105262.19201031516
2016-07-08,114944.98023467821,106829.60254714945
2016-07-11,115506.81137430482,107206.37034092714
2016-07-12,115338.78230799371,107985.0855756268
2016-07-13,115458.80458891855,107969.99398582659
2016-07-14,115668.15927887267,108572.82965519816
2016-07-15,115504.55152658005,108427.16026694777
2016-07-18,115682.99575933143,108718.50804260766
2016-07-19,115639.18454152734,108607.98936977741
2016-07-20,116597.83707333333,109060.12512096518
2016-07-21,115898.73210846446,108648.19761260826
2016-07-22,116787.88576680068,109135.49307837528
2016-07-25,116507.96904113695,108839.0877753047
2016-07-26,116757.00690494978,108889.35707800234
2016-07-27,116444.6380228049,108773.78087776141
2016-07-28,117324.31527395698,108899.39114039186
2016-07-29,117758.10219368391,109075.24370824268
2016-08-01,118020.15020645791,108984.77516187329
2016-08-02,116900.0236464092,108286.4764128353
2016-08-03,117220.77637402616,108602.9678390031
2016-08-04,116900.79048068209,108718.50804260766
2016-08-05,117903.54206526793,109607.71495266027
2016-08-08,117698.1580267439,109542.41705427608
2016-08-09,117719.32030204887,109607.71495266027
2016-08-10,117358.78231723658,109336.47129841581
2016-08-11,117669.12717733966,109843.82588980279
2016-08-12,117921.58516697791,109748.42580425003
2016-08-15,118136.18634442701,110064.86323546327
2016-08-16,117680.08835910929,109497.20527898913
2016-08-17,118249.31118294227,109703.18703148578
2016-08-18,118640.06326174548,109949.350029336
2016-08-19,118671.25924426466,109788.5800521263
2016-08-22,118797.50266572478,109783.54052303381
2016-08-23,118777.41103923466,110004.61386533067
2016-08-24,118403.69664592054,109441.95044215355
2016-08-25,118716.62692030572,109366.60048306166
2016-08-26,118336.78469147919,109160.618730565
2016-08-29,119210.33589927392,109698.1385032342
2016-08-30,118738.54272311645,109517.30940040456
2016-08-31,118499.66078266766,109205.83050585196
2016-09-01,118981.53456519479,109210.86103578536
2016-09-02,119403.38092846912,109703.18703148578
2016-09-06,119500.98594262755,110034.7790466129
2016-09-07,119243.54789467865,110024.6819901097
2016-09-08,118869.54140324274,109773.50646064429
2016-09-09,115661.24594610873,107146.11197163544
2016-09-12,117432.890168408,108683.3663263466
2016-09-13,115754.44012616042,107120.98631944571
2016-09-14,115693.25454012907,107080.82307241035
2016-09-15,116998.49034408364,108150.85008613352
2016-09-16,116815.38406143055,107732.77615211556
2016-09-19,117339.1626990676,107752.97026512191
2016-09-20,117097.56741371479,107758.0187933735
2016-09-21,118519.02075305354,108969.81855945948
2016-09-22,119283.31579478699,109656.47239663017
2016-09-23,118527.67032064123,109055.66153805469
2016-09-26,117543.62373293613,108172.06110411747
2016-09-27,118227.37009996844,108843.60535316975
2016-09-28,118590.86415493666,109383.83387272617
2016-09-29,117249.37234410786,108394.19634718739
2016-09-30,117830.31752140712,109212.16591385395
2016-10-03,117068.59939015996,108949.62444645313
2016-10-04,116723.70898678996,108394.19634718739
2016-10-05,116887.29073620807,108873.90552183839
2016-10-06,117565.98290531599,108949.62444645313
2016-10-07,117267.82402950141,108575.97036172188
2016-10-10,117673.15328715928,109141.4955174908
2016-10-11,115979.04804512946,107763.04932330691
2016-10-12,116373.5585109204,107904.45311014687
2016-10-13,115946.70009176416,107551.01113674017
2016-10-14,115825.59677888807,107606.55394666674
