variant,period,held_count,bought_count,sold_count,cash_after
control_composite,1,0,20,0,
control_composite,2,12,8,8,
control_composite,3,16,4,4,
control_composite,4,15,5,5,
control_composite,5,12,8,8,
control_composite,6,14,6,6,
control_composite,7,13,7,7,
control_composite,8,13,7,7,
control_composite,9,12,8,8,
control_composite,10,12,8,8,
control_composite,11,14,6,6,
control_composite,12,17,3,3,
control_composite,13,14,6,6,
control_composite,14,13,7,7,
control_composite,15,17,3,3,
control_composite,16,12,8,8,
control_composite,17,11,9,9,
control_composite,18,11,9,9,
control_composite,19,17,3,3,
control_composite,20,16,4,4,
control_composite,21,13,7,7,
control_composite,22,6,14,14,
control_composite,23,14,6,6,
control_composite,24,14,6,6,
control_composite,25,13,7,7,
control_composite,26,10,10,10,
control_composite,27,15,5,5,
control_composite,28,12,8,8,
control_composite,29,14,6,6,
control_composite,30,13,7,7,
control_composite,31,15,5,5,
control_composite,32,14,6,6,
control_composite,33,13,7,7,
control_composite,34,10,10,10,
control_composite,35,15,5,5,
control_composite,36,10,10,10,
control_composite,37,9,11,11,
control_composite,38,9,11,11,
control_composite,39,12,8,8,
hurdle_5,1,0,20,0,-20.0
hurdle_5,2,14,6,6,-42.70347019948349
hurdle_5,3,19,1,1,-26.561365177030893
hurdle_5,4,17,3,3,-33.632021084678854
hurdle_5,5,16,4,4,-38.48820633564537
hurdle_5,6,15,5,5,-42.991615697965244
hurdle_5,7,15,5,5,-44.209558420741814
hurdle_5,8,16,4,4,-40.74295479413922
hurdle_5,9,15,5,5,-47.45461518783122
hurdle_5,10,15,5,5,-47.39280274551493
hurdle_5,11,17,3,3,-38.871250110551046
hurdle_5,12,16,4,4,-45.01785385028779
hurdle_5,13,17,3,3,-38.61636099374846
hurdle_5,14,14,6,6,-57.71018238144461
hurdle_5,15,20,0,0,-24.231519923396945
hurdle_5,16,16,4,4,-46.75767841596462
hurdle_5,17,17,3,3,-43.380217952762905
hurdle_5,18,14,6,6,-56.18814775541978
hurdle_5,19,17,3,3,-45.18619599996964
hurdle_5,20,15,5,5,-60.10179942853574
hurdle_5,21,17,3,3,-52.94292806637168
hurdle_5,22,12,8,8,-99.58415084306034
hurdle_5,23,15,5,5,-75.81470968235953
hurdle_5,24,17,3,3,-52.53753589877306
hurdle_5,25,17,3,3,-64.48463332789106
hurdle_5,26,13,7,7,-97.88224761674064
hurdle_5,27,16,4,4,-63.35101688571012
hurdle_5,28,15,5,5,-70.40837768693018
hurdle_5,29,16,4,4,-62.582779378477426
hurdle_5,30,16,4,4,-68.37689903022692
hurdle_5,31,15,5,5,-86.6870766711072
hurdle_5,32,17,3,3,-62.31494172204839
hurdle_5,33,17,3,3,-67.12719890799781
hurdle_5,34,12,8,8,-145.4551465105469
hurdle_5,35,17,3,3,-77.96689082893135
hurdle_5,36,13,7,7,-129.4524614430411
hurdle_5,37,12,8,8,-145.12255101583287
hurdle_5,38,12,8,8,-138.82364838008652
hurdle_5,39,15,5,5,-112.90895842544705
hurdle_10,1,0,20,0,-20.0
hurdle_10,2,16,4,4,-36.43285488780202
hurdle_10,3,18,2,2,-30.607643836137868
hurdle_10,4,18,2,2,-29.948694669925317
hurdle_10,5,16,4,4,-38.48813106331181
hurdle_10,6,17,3,3,-35.044084386687246
hurdle_10,7,15,5,5,-43.91782969682208
hurdle_10,8,17,3,3,-35.95463830926565
hurdle_10,9,18,2,2,-32.464891173765864
hurdle_10,10,18,2,2,-31.18164245744083
hurdle_10,11,19,1,1,-27.733159125029488
hurdle_10,12,16,4,4,-44.39518584508187
hurdle_10,13,18,2,2,-33.395735522808536
hurdle_10,14,16,4,4,-46.01342761976048
hurdle_10,15,19,1,1,-29.69361766404836
hurdle_10,16,18,2,2,-35.75547984174409
hurdle_10,17,18,2,2,-35.220342474753124
hurdle_10,18,15,5,5,-50.03732228556328
hurdle_10,19,18,2,2,-39.48205101514759
hurdle_10,20,18,2,2,-38.601020192840224
hurdle_10,21,18,2,2,-42.08399565581567
hurdle_10,22,13,7,7,-84.1380032972047
hurdle_10,23,19,1,1,-36.98013415589594
hurdle_10,24,17,3,3,-51.60896659112041
hurdle_10,25,17,3,3,-61.67148035380524
hurdle_10,26,17,3,3,-56.57472782860714
hurdle_10,27,17,3,3,-50.900492024738924
hurdle_10,28,17,3,3,-51.73813791033899
hurdle_10,29,17,3,3,-52.21294598146778
hurdle_10,30,18,2,2,-48.22638077419106
hurdle_10,31,16,4,4,-74.31543965694436
hurdle_10,32,19,1,1,-39.01404817033472
hurdle_10,33,18,2,2,-54.91850900286954
hurdle_10,34,15,5,5,-100.29198623130651
hurdle_10,35,18,2,2,-63.02242518253479
hurdle_10,36,16,4,4,-91.93832255251618
hurdle_10,37,15,5,5,-106.05857215649303
hurdle_10,38,14,6,6,-116.79276980691793
hurdle_10,39,16,4,4,-99.54041207025148
